user,user_profile,date_review,title,rating,type_visit,num_contributions,review,review_cleaned,year,month
gilles,GillesPerrillat1978,2024-03-14,Magnifique etablissement historique,5.0,family,10,"Magnifique. Ce restaurant porte le nom d’u’e virtuose de la cuisine française qui en a inspiré toute un courant. Fidèle à son héritage, le service y est parfait, la nourriture, classique, est exécutée sans faute, et le lieu est magnifique. Une bien belle adresse ",magnifique restaurant porte nom due virtuose cuisine française inspiré toute courant fidèle héritage service parfait nourriture classique exécutée sans faute lieu magnifique bien belle adresse,2024,3
Alexmicha,Alexmicha,2024-03-11,Menu moins bons que d’habitude…,4.0,family,1563,"Nous y allons au minimum une fois par an et prenons toujours le menu du centenaire.
Nous avons toujours aimé tous les plats mais là, nous sommes un peu déçu. 
Gambas carabinos et oursin trop spécial , goût trop prononcé  ☹️et le homard était en quantité minimalist avec une sauce déroutante ( sauce soja ou autre mais pas bonne du tout ).
Heureusement les autres plats étaient bons.
J’espère que la carte sera changée prochainement sinon, nous ne risquons pas de revenir.",allons minimum fois prenons toujours menu centenaire avon toujours aimé tous plat somme peu déçu gamba carabinos oursin trop spécial goût trop prononcé homard quantité minimalist sauce déroutante sauce soja autre bonne tout heureusement autres plat bons jespère carte serum changée prochainement sinon risquons revenir,2024,3
Veronique W,veroniquew278,2024-03-08,Miam Miam !,5.0,friends,44,Une bonne cuisine et des plats traditionnels de la mère Brazier proposés dans les choix. Personnel sympathique. Un petit salon juste pour nous 6. Un agréable moment.,bonne cuisine plat traditionnels mère brazier proposés choix personnel sympathique petit salon juste agréable moment,2024,3
Amand69,Traveler56292455388,2024-03-05,Excellent,5.0,couples,2,"Menu du midi à 95€ de grande qualité. Ris de veau excellent. Entrée avec araignée de mer pleine de goût. Le dessert, un souffle noix de coco, un peu trop sucré à mon goût. Service professionnel et discret. Une très bonne table.",menu midi grande qualité veau excellent entrée araignée mer pleine goût dessert souffle noix coco peu trop sucré goût service professionnel discret très bonne table,2024,3
WilDeLyon,WilDeLyon,2024-02-09,Déçus,3.0,business,1284,"Depuis le temps qu'on voulait y aller.
Peut être est-ce le service du midi ?
Aucune grande émotion dans l'assiette et des minis portions pour des plats à plus de 80€ à la carte, on attendait tellement des ris de veau et de sa glace, sons jus, 2 minis morceaux, 1 petit de ris, 1 mini de homard. Heureusement l'entrée gambas relève un peu le niveau des papilles.
Quelle déception, 2 étoiles, la salle est approximative sans chaleur, les toilettes sans le souci du détail. 
On ne reviendra pas. ",depuis temp quon voulait aller peut être estce service midi aucune grande émotion lassiette mini portion plat plus carte attendait tellement veau glace jus mini morceau petit mini homard heureusement lentrée gamba relève peu niveau papilles quelle déception étoiles salle approximative sans chaleur toilette sans souci détail reviendra,2024,2
goodluc,goodluc,2024-02-05,À faire absolument !,5.0,couples,117,"Impatient lors de mon séjour à Lyon de découvrir cette institution ! Aucune déception, perfection de À à Z. Les 2 macarons sont bien accrochés. La formule du déjeuner à 95 euros est une magnifique proposition pour découvrir cette cuisine. À faire absolument.",impatient lors séjour lyon découvrir cette institution aucune déception perfection macarons bien accrochés formule déjeuner euro magnifique proposition découvrir cette cuisine faire absolument,2024,2
Maryse M,guignol0369,2024-02-01,Un moment d'exception,5.0,couples,22,"Nous avons apprécié l'accueil chaleureux et l'attention permanente du personnel qui nous ont vivre un moment à part.
Félicitations au Chef et à sa brigade pour cette cuisine raffinée avec un mariage de saveurs qui nous fait voyager visuellement et gustativement. C'est un ravissement à chaque plat. Nous avons passé un moment exceptionnel où chaque met vous procure un voyage des sens. 
Merci pour ce moment",avon apprécié laccueil chaleureux lattention permanente personnel vivre moment part félicitations chef brigade cette cuisine raffinée mariage saveurs fait voyager visuellement gustativement cest ravissement chaque plat avon passé moment exceptionnel chaque met procure voyage sen merci moment,2024,2
Henri A,874isabellea,2024-01-29,Pauvre Eugénie,4.0,family,48,"Petite déception 
L un des foies gras était beaucoup trop salé 
Malgré l indication donnée immédiatement au chef de rang qui a noté pas de changement 
Pour l un des plats emblématiques c est contrariant 
Pour un autre plat c est le homard qui était froid l indication est donnée 
Réponse je ferai remonter 
Curieux de ne pas reprendre l assiette et corriger la cuisson",petite déception foies gras beaucoup trop salé malgré indication donnée immédiatement chef rang noté changement plat emblématiques contrariant autre plat homard froid indication donnée réponse ferai remonter curieux reprendre assiette corriger cuisson,2024,1
Denise-gourmande,Denise-gourmande,2024-01-28,Menu Eugène Brazier,5.0,couples,305,"Je ne peux que recommander ce délicieux repas.( 175 euros par personne )
Nous avons accordé les mets avec les vins ce qui nous a fait 80 euros de plus mais il y avait 6 verres.
Le service était parfait.",peux recommander délicieux repas euro personne avon accordé mets vins fait euro plus verres service parfait,2024,1
Boulili83,coletted819,2023-12-03,Endroit magique,5.0,couples,36,"Un endroit extraordinaire à faire au moins une fois dans sa vie. Des plats sublimes et originaux,  dont une entrée d'anthologie avec crabe/araignée/caviar, et même si nous n'avions pas commandé le caviar (qui nous a pourtant été facturé) nous recommandons de le prendre en option, il sublime le plat.
Personnel bien évidemment compétent et aux petits soins. Bref, une splendide soirée",endroit extraordinaire faire moins fois vie plat sublimes originaux dont entrée danthologie crabearaignéecaviar navions commandé caviar pourtant facturé recommandons prendre option sublime plat personnel bien évidemment compétent petits soins bref splendide soirée,2023,12
Francois Jerome,peurdy,2023-11-06,L’excellence de la tradition,5.0,couples,153,"Entre jeanbonettes de grenouilles, volaille, souffle aux agrumes et Grand Marnier un déjeuner mêlant tradition et modernisme la Mère Brazier assis sur son nuage de la rue Royale peut être fière du chef Viannay
Un grand merci à l’équipe pour ce moment exceptionnel dans ce petit salon",entre jeanbonettes grenouilles volaille souffle agrumes grand marnier déjeuner mêlant tradition modernisme mère brazier assis nuage rue royale peut être fière chef viannay grand merci léquipe moment exceptionnel petit salon,2023,11
Lenou2012,Lenou2012,2023-10-29,Merveilleux,5.0,couples,380,"Une expérience parfaite et inoubliable, que ce soit au niveau des assiettes, de l’accueil ou du service. 
Le menu dégustation Mère Brazier avec son accord mets et vin est bien équilibré, et proportionné, une succession de plats exquis.
L’équipe est très agréable, le service est pro mais pas trop guindé, la sommelière très accessible. 
Une excellente soirée",expérience parfaite inoubliable niveau assiettes laccueil service menu dégustation mère brazier accord mets vin bien équilibré proportionné succession plat exquis léquipe très agréable service pro trop guindé sommelière très accessible excellente soirée,2023,10
Nono0825,Nono0825,2023-10-14,Très belle table,4.0,friends,1061,"Nous avons dîner dans ce restaurant récemment et le moins que l'on puisse dire c'est que je suis réconcilié avec un étoilé de Lyon après quelques déceptions.
Nous sommes partis sur le menu le plus étoffé, car il y avait de nombreux plats qui nous faisaient envie.
J'ai eut de gros coups coeurs pour le homard ris de veau et les jambonnettes de  cuisses de grenouilles. Le foie gras et l 'araignée de mers aussi étaient vraiment délicieux et parfaitement assaisonnés. La mise en bouche, le pâté croûte ou le pré dessert étaient top. Après par contre le plat de brochet avec la sauce nantua nous a moins emballé car la sauce avec un goût assez prononcé en alcool. Tout comme la morille de pins qui était composée d'un bouillon un peu trop salé. C'est pour cela que je met 4 étoiles.
Les conseils de la sommelière étaient vraiment top.
Une belle table qui donne vraiment envie d'y retourner.",avon dîner restaurant récemment moins lon puisse dire cest réconcilié étoilé lyon après quelques déceptions somme partis menu plus étoffé car nombreux plat faisaient envie jai gros coup coeurs homard veau jambonnettes cuisse grenouilles foie gras araignée mers aussi vraiment délicieux parfaitement assaisonnés mise bouche pâté croûte pré dessert top après contre plat brochet sauce nantua moins emballé car sauce goût assez prononcé alcool tout comme morille pin composée dun bouillon peu trop salé cest cela met étoiles conseils sommelière vraiment top belle table donne vraiment envie retourner,2023,10
loulou69f,loulou69f,2023-07-13,Notre adresse de référence à Lyon !,5.0,couples,1051,"Pour nous c’est la meilleure table de Lyon: le cadre d’un temple de la cuisine, le service efficace, les plats toujours préparés à la perfection; un grand choix de vins.
Bref jamais déçus et toujours un vrai moment de bonheur !",cest meilleure table lyon cadre dun temple cuisine service efficace plat toujours préparés perfection grand choix vins bref jamais déçus toujours vrai moment bonheur,2023,7
Jacques D,949jacquesd,2023-07-04,Une institution lyonnaise,5.0,family,10,"Bon, on ne présente plus la Mère Brazier. J'avais juré de m'y rendre en 2023, et ce fut ma première visite. Une institution, un monument, une cathédrale de la gastronomie lyonnaise. Le personnel est tout simplement au top du top. Nous avons longuement conversé avec le Sommelier, en commentant la carte exceptionnelle. Ce professionnel a pris tout son temps pour échanger avec nous sur les vins pouvant accompagner le menu dégustation. Mais nous nous sommes arrêtés sur un Champagne, Pol Roger millésimé 2015. 
Le service est hors du commun, mais sachez que notre menu dégustation nous a tout de même pris en soirée 2h45 !
Nous avons fait l'erreur de ne pas téléphoner au préalable pour nous assurer qu'il y a avait bien la poularde demi-deuil à la carte. Hélas, fin de saison des truffes, le volatile était servi avec des asperges. Nous avons donc opté pour le menu dégustation sans les vins d'accompagnement. Je n'en dis pas plus, tout était parfait. Le plateau de fromage ? Énorme, avec un très grand choix. 
Pour notre prochaine visite, nous nous assurerons de la cueillette des truffes et nous gouterons la poularde avec un Pommard. ( choix personnel ) 
Pas de bémol, pas d'ombre au tableau, du bonheur intégral, rien à dire. 
Ah si : courrez-y vite !",bon présente plus mère brazier javais juré rendre première visite institution monument cathédrale gastronomie lyonnaise personnel tout simplement top top avon longuement conversé sommelier commentant carte exceptionnelle professionnel pris tout temp échanger vins pouvant accompagner menu dégustation somme arrêtés champagne pol roger millésimé service hors commun sachez menu dégustation tout pris soirée avon fait lerreur téléphoner préalable assurer quil bien poularde demideuil carte hélas fin saison truffes volatile servi asperges avon donc opté menu dégustation sans vins daccompagnement nen dis plus tout parfait plateau fromage énorme très grand choix prochaine visite assurerons cueillette truffes gouterons poularde pommard choix personnel bémol dombre tableau bonheur intégral rien dire courrezy vite,2023,7
Sylvie G,R1549LXsylvieg,2023-06-30,Déçus par notre dîner dans ce restaurant,3.0,couples,4,"Déçue ! Je n'ai pas vu de différence dans le service avec un étoilé 1 * et celui ci ; peu de conseils du sommelier pour le chois du vin ! Nous n'avons pas trouvé le repas exceptionnel par rapport à un étoilé 1 * vu la différence de tarif. . . les mets sont bons mais en quantité très très limitée....Nous ne reviendrons pas....
Dommage ! ",déçue nai différence service étoilé celui peu conseils sommelier chois vin navons trouvé repas exceptionnel rapport étoilé différence tarif mets bons quantité très très limitéenous reviendrons dommage,2023,6
Rico049,Rico049,2023-06-29,Bienvenue dans la grande gastronomie française,5.0,couples,59,"Quel repas, de l'accueil au dessert, tout est parfait !

Commençons par le service, très attentionné et efficace. L'organisation est huilée et le personnel est aux petits soins pour vous faire passer un moment d'exception.

Du côté de la cuisine, nous pouvons apercevoir la brigade en arrivant a l'accueil grâce à une cuisine ouverte. Nous avons choisi le menu Eugénie Brazier, proposé en 5 services, avec les accords mets/vins. Un énorme bravo au Chef et à sa brigade pour le mariage des saveurs, pour la justesse des assaisonnements et des cuissons, et pour la créativité de leur cuisine, ainsi que pour le dressage des assiettes. Il n'y a aucune fausse note, tout est parfait. Je souhaite également souligner le travail réalisé par le sommelier, car non seulement les vins proposés sont de qualité, mais ils se marient parfaitement aux saveurs des plats.

En conclusion, nous en avons pris plein les papilles et avons passé un moment d'exception. Merci !
",quel repas laccueil dessert tout parfait commençons service très attentionné efficace lorganisation huilée personnel petits soins faire passer moment dexception côté cuisine pouvons apercevoir brigade arrivant laccueil grâce cuisine ouverte avon choisi menu eugénie brazier proposé service accord metsvins énorme bravo chef brigade mariage saveurs justesse assaisonnements cuissons créativité cuisine ainsi dressage assiettes aucune fausse note tout parfait souhaite également souligner travail réalisé sommelier car non seulement vins proposés qualité marient parfaitement saveurs plat conclusion avon pris plein papilles avon passé moment dexception merci,2023,6
hlev76,hlev76,2023-06-12,superbe soirée,5.0,family,17,"Accueil chaleureux et professionnel. Excellent restaurant à LYON. tous les plats étaient succulents. Merci pour ce superbe moment.
Seul petit bémole, un supplément fromage est demandé. 
Nous reviendrons avec plaisir.
 ",accueil chaleureux professionnel excellent restaurant lyon tous plat succulent merci superbe moment seul petit bémole supplément fromage demandé reviendrons plaisir,2023,6
HB-JLS,HB-JLS,2023-04-30,La perfection existe encore,5.0,friends,259,Il n’y a pas à dire : un plaisir sans cesse renouvelé ! L’artichaut-foie-gras dont on ne compte plus la version reste inimitable. Le lunch à 95 EUR est parfait. ,dire plaisir sans cesse renouvelé lartichautfoiegras dont compte plus version reste inimitable lunch eur parfait,2023,4
BMo21,BMo21,2023-04-14,Tout simplement parfait,5.0,couples,3,"Un moment magnifique et délicieux 
Tout était parfait de l’entrée au dessert : du goût à chaque plat. Des cuissons sans fausses notes 
Service également parfait 
Un accord mets vins parfait 
Un accord mets sans alcool : une très belle découverte pour madame 
Hâte de revenir 
Deux étoiles largement méritées
Merci au chef et à son équipe pour ce moment marquant",moment magnifique délicieux tout parfait lentrée dessert goût chaque plat cuissons sans fausses note service également parfait accord mets vins parfait accord mets sans alcool très belle découverte madame hâte revenir deux étoiles largement méritées merci chef équipe moment marquant,2023,4
valsco1,valsco1,2023-04-12,Toujours conquis !,5.0,couples,923,"Encore une fois une très belle expérience dans cette institution lyonnaise !

Menu centenaire incroyable.. les goûts sont juste la revisite du foie gras artichaut merveilleuse, mention spéciale pour la saint jaques cresson !

le service efficace et  discret comme nous les aimons. Un maître d’hôtel attentionné aux détails.

Aucune fausse note !

5eme visite toujours aussi conquis pas la cuisine du chef viannay. 

Un immense merci à tte l’équipe et a très bientôt pour une future pause gourmande",encore fois très belle expérience cette institution lyonnaise menu centenaire incroyable goûts juste revisite foie gras artichaut merveilleuse mention spéciale saint jaques cresson service efficace discret comme aimons maître dhôtel attentionné détails aucune fausse note eme visite toujours aussi conquis cuisine chef viannay immense merci tte léquipe très bientôt future pause gourmande,2023,4
Paul B,H9330JQpaulb,2023-04-06,Voyage culinaire inoubliable,5.0,couples,3,"Merci au chef et à toute l'équipe 
Un accueil chaleureux
Des mets raffinés et divins
Un accord mets boissons sans alcool fabuleux
Tout est réuni pour une magnifique escapade gourmande
Encore merci",merci chef toute léquipe accueil chaleureux mets raffinés divins accord mets boissons sans alcool fabuleux tout réuni magnifique escapade gourmande encore merci,2023,4
Hanane D,178hananed,2023-03-31,HONTEUX Cuisses non servies pour 265€!!,1.0,business,1,"HONTEUX!
Le plat la poularde à 265€ est une arnaque!!! sachez que les cuisses ne vous seront pas servies!
Nous avons pris comme plat la poularde et voici comment se passe le service: on nous présente la poularde au moment du service et le serveur nous explique que le plat se  sert en 2 services: blanc puis cuisses. Les cuisses ne peuvent être servies au 1er service en meme temps que le blanc car elles doivent retournées en cuisson.... soit... Le blanc étant copieux, je demande si les cuisses peuvent être emportées car je ne souhaite pas les manger au second service le serveur me répond aucun problème. Au moment de régler l'addition, on me donne un sac dans lequel sont sensées se trouver le plat que j'ai demandé à emporter. J'ouvre le sac qui me parait très léger: je découvre 6 petits cubes de cuisses qui ont été découpées! Premièrement je n'avais pas demandé à ce que les cuisses soient découpées et deuxièmement pour des cuisses qui devaient peser 200g chacunes à minima je me retrouve avec 60g pour 2 cuisses!!! Le responsable de restaurant explique qu'il ne peut rien faire et que c'est la présentation habituelle; Nous avons payé 780€ et on refuse de nous donner ce qui nous est du! C'est commercialement scandaleux et honteux surtout pour un restaurant gastronomique! Le client est vraiment pris pour un pigeon!
Nous avons laissé un pourboire même pas de merci! Adresse a fuir Nous n'y retournerons plus!",honteux plat poularde arnaque sachez cuisse servies avon pris comme plat poularde voici comment passe service présente poularde moment service serveur explique plat sert service blanc puis cuisse cuisse peuvent être servies service meme temp blanc car elles doivent retournées cuisson blanc copieux demande cuisse peuvent être emportées car souhaite manger second service serveur répond aucun problème moment régler laddition donne sac lequel sensées trouver plat jai demandé emporter jouvre sac parait très léger découvre petits cube cuisse découpées premièrement navais demandé cuisse découpées deuxièmement cuisse devaient peser chacunes minimum retrouve cuisse responsable restaurant explique quil peut rien faire cest présentation habituelle avon payé refuse donner cest commercialement scandaleux honteux surtout restaurant gastronomique client vraiment pris pigeon avon laissé pourboire merci adresse fuir retournerons plus,2023,3
monparfum,monparfum,2023-03-22,Dejeuner d'anniversaire reussi !!!,5.0,none,483,"excllent moment passé pour un dejeuner incroyable...cuisine raffinée, delicieuse, service irreprochable

J'ai passé un anniversaire reussi 

Merci a toute l'equipe !",excllent moment passé dejeuner incroyablecuisine raffinée delicieuse service irreprochable jai passé anniversaire reussi merci toute lequipe,2023,3
Delim18,Delim18,2023-02-27,Magnifique !,5.0,couples,181,"De la très belle cuisine! Nous nous sommes régalés du début à la fin avec un service parfait et très avenant. Le décor de ce lieu, qui est une institution lyonnaise, est très réussi. Si vous avez le temps et l’appétit prenez le menu du centenaire : une merveille!",très belle cuisine somme régalés début fin service parfait très avenant décor lieu institution lyonnaise très réussi temp lappétit prenez menu centenaire merveille,2023,2
christophe L,christophe218,2023-02-21,Un très bon moment,5.0,friends,2956,"Tout d'abord, il y a le voiturier qui vous ôte tout soucis de stationnement (8€) c'est très correct.
Bien sur un Excellent accueil puis un déjeuner dans la salle du bar, très intime. 
Nous avons été choyés par un personnel compétent et une jeune sommelière exceptionnelle. 
Menu déjeuner aperitif pâté croûte foie gras, amuse bouche, puis le fond d'artichaut foie gras à tester absolument. 
Le chevreuil cuit à la perfection puis un soufflé chaud passion rhum, à tomber.
Les mignardises, madeleine tiède nougats et caramel.
Un vrai plaisir à refaire. 
Bravo!
",tout dabord voiturier ôte tout soucis stationnement cest très correct bien excellent accueil puis déjeuner salle bar très intime avon choyés personnel compétent jeune sommelière exceptionnelle menu déjeuner aperitif pâté croûte foie gras amuse bouche puis fond dartichaut foie gras tester absolument chevreuil cuit perfection puis soufflé chaud passion rhum tomber mignardises madeleine tiède nougat caramel vrai plaisir refaire bravo,2023,2
HOTEL-BAYARD,HOTEL-BAYARD,2023-01-03,Meilleur repas de Noël de notre vie !,5.0,none,1,"Après des années de difficultés et de restrictions, nous avons voulu nous faire plaisir pour Noël lors de notre repas d'équipe par l'expérience inoubliable qui est la Mère Brazier. 
Nous savons qu'il s'agissait ici d'une institution mais les créations du chef Mathieu Viannay si bien présentées par sa brigade de cuisine et par les équipes en salle, nous ont presque ému tant elles étaient bonnes. 
Chaque bouchée une découverte, chaque plat un voyage culinaire.
Nous ne regrettons pas cette soirée unique et nous remercions la Mère Brazier pour ce beau moment de partage. Meilleurs voeux !",après années difficultés restriction avon voulu faire plaisir noël lors repas déquipe lexpérience inoubliable mère brazier savons quil sagissait ici dune institution créations chef mathieu viannay bien présentées brigade cuisine équipes salle presque ému tant elles bonnes chaque bouchée découverte chaque plat voyage culinaire regrettons cette soirée unique remercions mère brazier beau moment partage meilleurs voeux,2023,1
loulou,325olivierw,2022-12-26,"Un peu has been,  il faudrait tout refaire",3.0,family,77,"Cadre un peu moche,  à ce prix là,  ça manque de goût. 
Moquette so 2000, mobilier totalement has been. 
Plat plutôt réussi,  mais manque un peu de présentation pour un deux étoiles michelin. 
Prix à la hauteur   mais manque de retour sur investissement. 
",cadre peu moche prix manque goût moquette mobilier totalement been plat plutôt réussi manque peu présentation deux étoiles michelin prix hauteur manque retour investissement,2022,12
