user;user_profile;date_review;title;rating;type_visit;num_contributions;review
gilles;GillesPerrillat1978;14 mars 2024;Magnifique etablissement historique;5.0;family;10;Magnifique. Ce restaurant porte le nom d’u’e virtuose de la cuisine française qui en a inspiré toute un courant. Fidèle à son héritage, le service y est parfait, la nourriture, classique, est exécutée sans faute, et le lieu est magnifique. Une bien belle adresse 
Alexmicha;Alexmicha;11 mars 2024;Menu moins bons que d’habitude…;4.0;family;1563;"Nous y allons au minimum une fois par an et prenons toujours le menu du centenaire.
Nous avons toujours aimé tous les plats mais là, nous sommes un peu déçu. 
Gambas carabinos et oursin trop spécial , goût trop prononcé  ☹️et le homard était en quantité minimalist avec une sauce déroutante ( sauce soja ou autre mais pas bonne du tout ).
Heureusement les autres plats étaient bons.
J’espère que la carte sera changée prochainement sinon, nous ne risquons pas de revenir."
Veronique W;veroniquew278;8 mars 2024;Miam Miam !;5.0;friends;44;Une bonne cuisine et des plats traditionnels de la mère Brazier proposés dans les choix. Personnel sympathique. Un petit salon juste pour nous 6. Un agréable moment.
Amand69;Traveler56292455388;5 mars 2024;Excellent;5.0;couples;2;Menu du midi à 95€ de grande qualité. Ris de veau excellent. Entrée avec araignée de mer pleine de goût. Le dessert, un souffle noix de coco, un peu trop sucré à mon goût. Service professionnel et discret. Une très bonne table.
WilDeLyon;WilDeLyon;9 février 2024;Déçus;3.0;business;1284;"Depuis le temps qu'on voulait y aller.
Peut être est-ce le service du midi ?
Aucune grande émotion dans l'assiette et des minis portions pour des plats à plus de 80€ à la carte, on attendait tellement des ris de veau et de sa glace, sons jus, 2 minis morceaux, 1 petit de ris, 1 mini de homard. Heureusement l'entrée gambas relève un peu le niveau des papilles.
Quelle déception, 2 étoiles, la salle est approximative sans chaleur, les toilettes sans le souci du détail. 
On ne reviendra pas. "
goodluc;goodluc;5 février 2024;À faire absolument !;5.0;couples;117;Impatient lors de mon séjour à Lyon de découvrir cette institution ! Aucune déception, perfection de À à Z. Les 2 macarons sont bien accrochés. La formule du déjeuner à 95 euros est une magnifique proposition pour découvrir cette cuisine. À faire absolument.
Maryse M;guignol0369;1 février 2024;Un moment d'exception;5.0;couples;22;"Nous avons apprécié l'accueil chaleureux et l'attention permanente du personnel qui nous ont vivre un moment à part.
Félicitations au Chef et à sa brigade pour cette cuisine raffinée avec un mariage de saveurs qui nous fait voyager visuellement et gustativement. C'est un ravissement à chaque plat. Nous avons passé un moment exceptionnel où chaque met vous procure un voyage des sens. 
Merci pour ce moment"
Henri A;874isabellea;29 janvier 2024;Pauvre Eugénie;4.0;family;48;"Petite déception 
L un des foies gras était beaucoup trop salé 
Malgré l indication donnée immédiatement au chef de rang qui a noté pas de changement 
Pour l un des plats emblématiques c est contrariant 
Pour un autre plat c est le homard qui était froid l indication est donnée 
Réponse je ferai remonter 
Curieux de ne pas reprendre l assiette et corriger la cuisson"
Denise-gourmande;Denise-gourmande;28 janvier 2024;Menu Eugène Brazier;5.0;couples;305;"Je ne peux que recommander ce délicieux repas.( 175 euros par personne )
Nous avons accordé les mets avec les vins ce qui nous a fait 80 euros de plus mais il y avait 6 verres.
Le service était parfait."
Boulili83;coletted819;3 décembre 2023;Endroit magique;5.0;couples;36;"Un endroit extraordinaire à faire au moins une fois dans sa vie. Des plats sublimes et originaux,  dont une entrée d'anthologie avec crabe/araignée/caviar, et même si nous n'avions pas commandé le caviar (qui nous a pourtant été facturé) nous recommandons de le prendre en option, il sublime le plat.
Personnel bien évidemment compétent et aux petits soins. Bref, une splendide soirée"
Francois Jerome;peurdy;6 novembre 2023;L’excellence de la tradition;5.0;couples;153;"Entre jeanbonettes de grenouilles, volaille, souffle aux agrumes et Grand Marnier un déjeuner mêlant tradition et modernisme la Mère Brazier assis sur son nuage de la rue Royale peut être fière du chef Viannay
Un grand merci à l’équipe pour ce moment exceptionnel dans ce petit salon"
Lenou2012;Lenou2012;29 octobre 2023;Merveilleux;5.0;couples;380;"Une expérience parfaite et inoubliable, que ce soit au niveau des assiettes, de l’accueil ou du service. 
Le menu dégustation Mère Brazier avec son accord mets et vin est bien équilibré, et proportionné, une succession de plats exquis.
L’équipe est très agréable, le service est pro mais pas trop guindé, la sommelière très accessible. 
Une excellente soirée"
Nono0825;Nono0825;14 octobre 2023;Très belle table;4.0;friends;1061;"Nous avons dîner dans ce restaurant récemment et le moins que l'on puisse dire c'est que je suis réconcilié avec un étoilé de Lyon après quelques déceptions.
Nous sommes partis sur le menu le plus étoffé, car il y avait de nombreux plats qui nous faisaient envie.
J'ai eut de gros coups coeurs pour le homard ris de veau et les jambonnettes de  cuisses de grenouilles. Le foie gras et l 'araignée de mers aussi étaient vraiment délicieux et parfaitement assaisonnés. La mise en bouche, le pâté croûte ou le pré dessert étaient top. Après par contre le plat de brochet avec la sauce nantua nous a moins emballé car la sauce avec un goût assez prononcé en alcool. Tout comme la morille de pins qui était composée d'un bouillon un peu trop salé. C'est pour cela que je met 4 étoiles.
Les conseils de la sommelière étaient vraiment top.
Une belle table qui donne vraiment envie d'y retourner."
loulou69f;loulou69f;13 juillet 2023;Notre adresse de référence à Lyon !;5.0;couples;1051;"Pour nous c’est la meilleure table de Lyon: le cadre d’un temple de la cuisine, le service efficace, les plats toujours préparés à la perfection; un grand choix de vins.
Bref jamais déçus et toujours un vrai moment de bonheur !"
Jacques D;949jacquesd;4 juillet 2023;Une institution lyonnaise;5.0;family;10;"Bon, on ne présente plus la Mère Brazier. J'avais juré de m'y rendre en 2023, et ce fut ma première visite. Une institution, un monument, une cathédrale de la gastronomie lyonnaise. Le personnel est tout simplement au top du top. Nous avons longuement conversé avec le Sommelier, en commentant la carte exceptionnelle. Ce professionnel a pris tout son temps pour échanger avec nous sur les vins pouvant accompagner le menu dégustation. Mais nous nous sommes arrêtés sur un Champagne, Pol Roger millésimé 2015. 
Le service est hors du commun, mais sachez que notre menu dégustation nous a tout de même pris en soirée 2h45 !
Nous avons fait l'erreur de ne pas téléphoner au préalable pour nous assurer qu'il y a avait bien la poularde demi-deuil à la carte. Hélas, fin de saison des truffes, le volatile était servi avec des asperges. Nous avons donc opté pour le menu dégustation sans les vins d'accompagnement. Je n'en dis pas plus, tout était parfait. Le plateau de fromage ? Énorme, avec un très grand choix. 
Pour notre prochaine visite, nous nous assurerons de la cueillette des truffes et nous gouterons la poularde avec un Pommard. ( choix personnel ) 
Pas de bémol, pas d'ombre au tableau, du bonheur intégral, rien à dire. 
Ah si : courrez-y vite !"
Sylvie G;R1549LXsylvieg;30 juin 2023;Déçus par notre dîner dans ce restaurant;3.0;couples;4;"Déçue ! Je n'ai pas vu de différence dans le service avec un étoilé 1 * et celui ci ; peu de conseils du sommelier pour le chois du vin ! Nous n'avons pas trouvé le repas exceptionnel par rapport à un étoilé 1 * vu la différence de tarif. . . les mets sont bons mais en quantité très très limitée....Nous ne reviendrons pas....
Dommage ! "
Rico049;Rico049;29 juin 2023;Bienvenue dans la grande gastronomie française;5.0;couples;59;"Quel repas, de l'accueil au dessert, tout est parfait !

Commençons par le service, très attentionné et efficace. L'organisation est huilée et le personnel est aux petits soins pour vous faire passer un moment d'exception.

Du côté de la cuisine, nous pouvons apercevoir la brigade en arrivant a l'accueil grâce à une cuisine ouverte. Nous avons choisi le menu Eugénie Brazier, proposé en 5 services, avec les accords mets/vins. Un énorme bravo au Chef et à sa brigade pour le mariage des saveurs, pour la justesse des assaisonnements et des cuissons, et pour la créativité de leur cuisine, ainsi que pour le dressage des assiettes. Il n'y a aucune fausse note, tout est parfait. Je souhaite également souligner le travail réalisé par le sommelier, car non seulement les vins proposés sont de qualité, mais ils se marient parfaitement aux saveurs des plats.

En conclusion, nous en avons pris plein les papilles et avons passé un moment d'exception. Merci !
"
hlev76;hlev76;12 juin 2023;superbe soirée;5.0;family;17;"Accueil chaleureux et professionnel. Excellent restaurant à LYON. tous les plats étaient succulents. Merci pour ce superbe moment.
Seul petit bémole, un supplément fromage est demandé. 
Nous reviendrons avec plaisir.
 "
HB-JLS;HB-JLS;30 avril 2023;La perfection existe encore;5.0;friends;259;Il n’y a pas à dire : un plaisir sans cesse renouvelé ! L’artichaut-foie-gras dont on ne compte plus la version reste inimitable. Le lunch à 95 EUR est parfait. 
BMo21;BMo21;14 avril 2023;Tout simplement parfait;5.0;couples;3;"Un moment magnifique et délicieux 
Tout était parfait de l’entrée au dessert : du goût à chaque plat. Des cuissons sans fausses notes 
Service également parfait 
Un accord mets vins parfait 
Un accord mets sans alcool : une très belle découverte pour madame 
Hâte de revenir 
Deux étoiles largement méritées
Merci au chef et à son équipe pour ce moment marquant"
valsco1;valsco1;12 avril 2023;Toujours conquis !;5.0;couples;923;"Encore une fois une très belle expérience dans cette institution lyonnaise !

Menu centenaire incroyable.. les goûts sont juste la revisite du foie gras artichaut merveilleuse, mention spéciale pour la saint jaques cresson !

le service efficace et  discret comme nous les aimons. Un maître d’hôtel attentionné aux détails.

Aucune fausse note !

5eme visite toujours aussi conquis pas la cuisine du chef viannay. 

Un immense merci à tte l’équipe et a très bientôt pour une future pause gourmande"
Paul B;H9330JQpaulb;6 avril 2023;Voyage culinaire inoubliable;5.0;couples;3;"Merci au chef et à toute l'équipe 
Un accueil chaleureux
Des mets raffinés et divins
Un accord mets boissons sans alcool fabuleux
Tout est réuni pour une magnifique escapade gourmande
Encore merci"
Hanane D;178hananed;31 mars 2023;HONTEUX Cuisses non servies pour 265€!!;1.0;business;1;"HONTEUX!
Le plat la poularde à 265€ est une arnaque!!! sachez que les cuisses ne vous seront pas servies!
Nous avons pris comme plat la poularde et voici comment se passe le service: on nous présente la poularde au moment du service et le serveur nous explique que le plat se  sert en 2 services: blanc puis cuisses. Les cuisses ne peuvent être servies au 1er service en meme temps que le blanc car elles doivent retournées en cuisson.... soit... Le blanc étant copieux, je demande si les cuisses peuvent être emportées car je ne souhaite pas les manger au second service le serveur me répond aucun problème. Au moment de régler l'addition, on me donne un sac dans lequel sont sensées se trouver le plat que j'ai demandé à emporter. J'ouvre le sac qui me parait très léger: je découvre 6 petits cubes de cuisses qui ont été découpées! Premièrement je n'avais pas demandé à ce que les cuisses soient découpées et deuxièmement pour des cuisses qui devaient peser 200g chacunes à minima je me retrouve avec 60g pour 2 cuisses!!! Le responsable de restaurant explique qu'il ne peut rien faire et que c'est la présentation habituelle; Nous avons payé 780€ et on refuse de nous donner ce qui nous est du! C'est commercialement scandaleux et honteux surtout pour un restaurant gastronomique! Le client est vraiment pris pour un pigeon!
Nous avons laissé un pourboire même pas de merci! Adresse a fuir Nous n'y retournerons plus!"
monparfum;monparfum;22 mars 2023;Dejeuner d'anniversaire reussi !!!;5.0;none;483;"excllent moment passé pour un dejeuner incroyable...cuisine raffinée, delicieuse, service irreprochable

J'ai passé un anniversaire reussi 

Merci a toute l'equipe !"
Delim18;Delim18;27 février 2023;Magnifique !;5.0;couples;181;De la très belle cuisine! Nous nous sommes régalés du début à la fin avec un service parfait et très avenant. Le décor de ce lieu, qui est une institution lyonnaise, est très réussi. Si vous avez le temps et l’appétit prenez le menu du centenaire : une merveille!
christophe L;christophe218;21 février 2023;Un très bon moment;5.0;friends;2956;"Tout d'abord, il y a le voiturier qui vous ôte tout soucis de stationnement (8€) c'est très correct.
Bien sur un Excellent accueil puis un déjeuner dans la salle du bar, très intime. 
Nous avons été choyés par un personnel compétent et une jeune sommelière exceptionnelle. 
Menu déjeuner aperitif pâté croûte foie gras, amuse bouche, puis le fond d'artichaut foie gras à tester absolument. 
Le chevreuil cuit à la perfection puis un soufflé chaud passion rhum, à tomber.
Les mignardises, madeleine tiède nougats et caramel.
Un vrai plaisir à refaire. 
Bravo!
"
HOTEL-BAYARD;HOTEL-BAYARD;3 janvier 2023;Meilleur repas de Noël de notre vie !;5.0;none;1;"Après des années de difficultés et de restrictions, nous avons voulu nous faire plaisir pour Noël lors de notre repas d'équipe par l'expérience inoubliable qui est la Mère Brazier. 
Nous savons qu'il s'agissait ici d'une institution mais les créations du chef Mathieu Viannay si bien présentées par sa brigade de cuisine et par les équipes en salle, nous ont presque ému tant elles étaient bonnes. 
Chaque bouchée une découverte, chaque plat un voyage culinaire.
Nous ne regrettons pas cette soirée unique et nous remercions la Mère Brazier pour ce beau moment de partage. Meilleurs voeux !"
loulou;325olivierw;26 décembre 2022;Un peu has been,  il faudrait tout refaire;3.0;family;77;"Cadre un peu moche,  à ce prix là,  ça manque de goût. 
Moquette so 2000, mobilier totalement has been. 
Plat plutôt réussi,  mais manque un peu de présentation pour un deux étoiles michelin. 
Prix à la hauteur   mais manque de retour sur investissement. 
"
Catherine;catherinejS8734UP;21 décembre 2022;Un déjeuner;5.0;family;3;"Une découverte pour moi tout le long du repas.
Une cuisine merveilleuse faite de mets délicats et raffinés.
Le service est dans la même veine, c'est à dire très professionnelle sans ostentation. Une sommelière passionnée.
En résumé un moment qui restera un superbe souvenir gustatif."
Patrice C;patricecR3819PC;16 décembre 2022;Super !!;5.0;family;1;On a beau savoir que c'est top, le vivre c'est un grand moment  de plaisir à l'état pur.  Super note aussi pour la qualité du service : efficace sans être obsequieux.
Helene 43;louloudesconta;3 décembre 2022;Une experience culinaire magnifique;5.0;family;65;"Tout est parfait, des plats sublimes au personnel efficace et discret cette illustre maison merite sans hésiter que l'on vienne y passer une parenthese enchantée.
Des etoilés lyonnais déjà frequentés celui ci a ma préférence."
LLS1966;LLS1966;29 novembre 2022;Un moment inoubliable;5.0;friends;26;"Restaurant de haute qualité 
Un service d’exception 
Un personnel très accueillant et très sympathique 
Pour le repas absolument parfait
Je retiendrais les St Jacques que resteront longtemps dans ma mémoire 
Merci pour cet accueil et pour ce fabuleux repas"
eddhoff;eddhoff;14 novembre 2022;Déjeuner en semaine. Exceptionnel;5.0;family;237;Déjeuner d’anniversaire, de l’accueil au cadre et surtout à la cuisine , un moment exceptionnel. Ris de veau remarquable, mention spéciale pour le très beau plateau de fromages plutôt peu communs et très bien affinés .
christian p;christianajaccio;23 septembre 2022;Un peu déçu;4.0;none;25;"menu du centenaire : déçu par le foie gras/artichaut sans saveur, dommage .
service agréable , rythme du repas correct"
JYREGINSTER;JYREGINSTER;18 septembre 2022;Repas de très haute tenue;5.0;none;251;Aucune faille. Plats novateurs, sans fioritures et sans excès. Le mélange audacieux de l'ormeau et de l'andouillette ou encore les pommes de terres nouvelles et l'anguille sont subtilement dosés et méritent à eux seuls le voyage. Service, attentionné, souriant et efficace. Très jolie carte des vins dont les superbes flacons sont raisonnablement évalués. Très sympathique équipe de sommellerie hautement compétents. Cadre élégant et reposant. Félicitons nous aussi de trouver une (très) grande maison qui offre encore, à côté de superbes menus, la possibilité de choisir son propre menu à la carte. Au moment oü le guide rouge semble privilégier la technicité au plaisir de manger, espérons que ses inspecteurs auront à coeur de se souvenir que les repas dans les restaurants triplement étoilés doivent d'abord ravir les cinq sens plutôt que donner l'impression de visiter un laboratoire. La région lyonnaise, un peu sinistrée gastronomiquement depuis quelques années, a son chef de file, tenant fermement la barre et méritant, sans aucun doute la reconnaissance suprème.
Anno100;Anno100;9 septembre 2022;Déjeuner professionnel à la hauteur;5.0;none;15;Le menu du déjeuner est tout à fait abordable (95€ par personne). Chaque met servi a été à la hauteur de nos attentes. Un accueil chaleureux et un service impeccable ont complété ce bon moment gustatif. Merci à tous.
Alexmicha;Alexmicha;2 septembre 2022;Plus que parfait 😋😋😋;5.0;family;1563;"Une vraie institution lyonnaise.
Cuisine parfaitement maîtrisée 👌
Tous les plats sont raffinés et bons.
Mention spéciale pour le saint Pierre et son délicieux bouillon. Le pigeon aux fruits noire parfaitement exécuté.
Le dessert  est excellent, je dirais même un des meilleurs desserts que j’ai mangé 😋😋😋
Bravo au chef Mathieu Vianney, ne changez rien, nous reviendrons très vite.
Mérite largement ces 2 étoiles 🌟 🌟 
Allez y les yeux fermés, c’est un vrai plaisir de manger ici. Ce restaurant  étoilé fait partie de mes top 5 préférés 🤩"
Baptiste G;880baptisteg;17 août 2022;Parfait;5.0;none;71;Un diner très agréable du début à la fin. Cuisine raffinée, service à l'écoute, très bon échange avec le sommelier. Tout ce que l'on attends pour un établissement de ce standing. Service voiturier très appréciable.
ppeyrard;ppeyrard;27 juillet 2022;Très belle table;5.0;friends;5978;Accueil à votre arrivée dans la maison, nous avons été conduit au premier étage dans un grand salon. Magnifique. C'est très confortable d'être ainsi installé et très intimiste. J'adore! Les menus sont appétissants. Nous avons adoré le cuisine du Chef. Ce mélange, de traditions modernisées, de terre mer... Bref, un grand regret, ne pas être venu avant. Regardez les photos des plats, pas necesd6d'en dire plus: MAGNIFIQUE. Merci à toute l'équipe.
jean-luc mounard;mounard;3 juillet 2022;je suis atteré par ce chef d'oeuvre en péril;2.0;none;40;"J'ai la chance de fréquenter un certain nombre de belles tables et celle ci m'a absolument déçu. Des amuse-bouches sans intéret, un yaourt avec des concombres et des haricots verts finement coupés, "" coques et des tuiles, alors meme que nous avons signaléau maitre d'hotel notre aversion pour le concombre. Une cuisine sans créativité mais d'une technicité sans défaut certes. Dans ce repas, la seule chose que j'ai trouvée sublime, c'est la sauce Nantua qui accompagnait un brochet sans grande saveur. Le contraste est d'autant plus désolant que dans la meme semaine, j'ai eu la chance de déjeuner chez Mauro Colagreco au mirazur. Je ne remettrai pas les pieds ici , dans la capitale de la gastronomie où ce ne sont pas les grands chefs qui manquent."
LEATIM;henrim26;12 juin 2022;Excellentissime !;5.0;none;151;Cuisine excellent à la fois originale, subtile, fine, recherchée, avec beaucoup de saveurs ! Ni trop ni trop peu dans les assiettes.  Tout était délicieux de l'entrée au dessert. Aucune erreur de goût, d'association et de présentation. Tout était juste et parfait !
Patetflolyon;Patetflolyon;1 mai 2022;Excellent, cuisine nouvelle.;5.0;none;1078;"Excellent, cuisine nouvelle. pas facile d avoir une table, il faut anticiper! décor un peu 70’s , on n arrive ni à aimer si a ne pas aimer. Service très pro, forcément. Menus xxl. Des plats sans fin, repas de 3h mais cela passe très vite. Tout bon est pas exquis; beaucoup de travail sur chaque plat. Peut être trop de détails, pour des portions un peu petites mais au bout du bout, on ressort plein! En revanche rien de marquant. Contrairement à ses confrères Bocuse ou Blanc. "
morgalexia;morgalexia;29 avril 2022;Super cuisine, personnel souriant et pro,. Proche de la perfection;5.0;friends;474;"Très bel endroit, beaucoup de salons privés pour être comme a la maison.
Service voiturier très pratique.
Cuisine d’exception, accords vins parfait, le personnel très agréable et souriant
Un superbe moment à refaire"
sbelguess;sbelguess;23 avril 2022;Parfait !;5.0;friends;28;Soirée entre amis à 6 personnes et c’était vraiment un moment très agréable ! Le service est parfait, les mets sont délicieux, les conseils pertinents, bref, c’est parfait !
adibello;adibello;4 avril 2022;la cuisine lyonnaise continue son récit;5.0;couples;4;Deuxième expérience, et deuxième coup de foudre. Un merveilleux mélange de tradition et de modernité. Bravo!! Un établissement qui perpétue parfaitement notre belle histoire lyonnaise
loulou69f;loulou69f;19 mars 2022;L'histoire des lieux résumée dans le menu du Centenaire;5.0;none;1051;"Le cadre, le service , l'attention portée aux clients : tout est parfait.
Pour ""changer"" par rapport à nos précédentes expériences nous avons choisi le menu du Centenaire : tout est délicieux et parfaitement présenté, des amuse-bouche aux desserts. 
Bref nous attendons déjà la prochaine fois avec impatience !"
jeanclaudeb2013;jeanclaudeb2013;18 mars 2022;Excellente Table;5.0;none;107;"Un moment agréable dans un écrin Lyonnais.
Une cuisine savoureuse !
un service de très bonne qualité.
Un accord Mets Vins particulièrement adapté."
Miha06;Miha06;16 mars 2022;Mémorable !;5.0;none;104;"Tres grande qualité dans les assiettes ( je recommande en particulier l'araignee de mer au caviar) et la quantité est aussi au rendez-vous.
Le service est juste parfait: tres souriant et disponible.
Pour ce niveau, le menu à 145 euros n'est pas cher payé!"
6tonio;6tonio;3 mars 2022;Génial;5.0;couples;73;"Topissime un véritable régal 
Tout était parfait 
Rien à dire 
Un plus pour notre serveuse vosgienne et le sommelier !!
Merci pour ce moment"
isa r;ivsr;5 février 2022;trés décevant;3.0;none;42;mon mari m'invitait pour mon anniversaire. il avait bien précisé en note en réservant qu'il était en fauteuil roulant... à l'arrivée, le personnel m'a regardé galérer avec la porte d'entrée et les deux marches qui donnent accès au sac d’accueil avant de nous engueuler car ils nous avaient prévu au premier étage! bonjour l'ambiance, ils finissent par nous installer dans une salle au rez de chaussé ...  les plats sont très alléchants sur la carte,  mais tout autant frustrants dans notre assiette ! beaux mélange de gouts et de saveurs, mais l’équivalent d'une bouchée que ce soit pour l'entrée pour les plats principaux, nous qui ne sommes pas vraiment dessert on a été content de voir arriver un soufflé à la clémentine, lui très copieux et qui est venu à bout de notre appétit! au départ, après avoir du me lever pour chercher une personne pour avoir la note, seule une petite serveuse nous a proposé son aide pour passer les marches.. Dire que j'avais un si bon souvenir de la mère Brazier d'avant!
Christine B;540christineb;3 février 2022;Une soiree anniversaire;5.0;couples;21;"Un joli moment dans ce restaurant! Un service vraiment nickel et des plats excellents!
Un beau moment et nous y retourenerons!"
Olivier D;407olivierd;30 janvier 2022;Restaurant exceptionnel pour occasion exceptionnelle;5.0;friends;579;"Visite en terrain connu, mais plaisir gustatif assuré.
Décor, service, personnel exceptionnels.
Le repas a coupé le souffle sans faute !
Difficile de trouver les mots pour cette table exceptionnelle."
Marija P;387marijap;22 janvier 2022;Anniversaire de mariage;4.0;family;5;pour fête l’anniversaire de mariage nous avons choisis la mère brasier joli maison très classique ,c’était bon m’est  nous avions fais d’autres étoile ou on étais beaucoup plus surpris .
Sylvie Z;beegeneve;14 janvier 2022;Délicieux moment , mais...;4.0;none;51;"Le dîner des «  100 ans «  nous a été offert à Noel et nous avons pu le déguster dernièrement . 
Tout était délicieux , excellent d’une grande finesse . Nous avons été enchanté par ce menu ! 
Seule ombre au tableau , la salle où nous étions installés : Une pièce carrelée du sol au plafond telle un laboratoire ...
Pour apprécier pleinement un tel menu un cadre plus accueillant serait souhaitable de même qu’une vaisselle plus recherchée !
A signaler la gentillesse et la compétence du personnel !"
Mylboro;Scenic19939626534;5 janvier 2022;Un bon moment perfectible;4.0;family;40;Un bon moment passé en famille mais il aurait pu être selon moi parfait avec un peu plus de chaleur dans le service (à l’exception notable d’un jeune sommelier bien dynamique et sympathique) , un accompagnement avec le chou farci, simple pièce coupée avec une présentation perfectible et un soufflé à la mandarine beaucoup trop sucré.
