,user,user_profile,date_review,title,rating,type_visit,num_contributions,review
10,Sébastien B,skjdb69,7 mai 2024,Excellente qualité prix.,5.0,couples,49,"Toujours impatients, depuis que nous avons découvert ce restaurant, d'aller déguster les nouveaux menus d'une qualité prix assez rare."
11,gigi54,senior54700,30 avril 2024,Une belle adresse,5.0,family,39,"Une belle adresse, une jolie découverte. Les produits de saison sont cuisinés d'une façon très étonnante avec des saveurs qui se dévoilent en bouche. La présentation des produits sur assiette est un plus.
Le patron est un passionné et à l'écoute des clients. Je recommande +++"
12,Ccath,CCayr108,19 mars 2024,Cuisine élégante et créative,4.0,couples,30,"Une bonne table assurément. Les plats déclinent à l'envi des légumes que l'on a plaisir à découvrir ou redécouvrir : patate douce sous toutes ses formes pour une entrée originale et délicate. Belles présentations, service professionnel.
Si la note n'atteint pas 5, c'est pour alerter sur les quantités servies, un peu justes pour le plat principal. Nous reviendrons tester le service du soir."
13,maxrvp20,maxrvp20,8 mars 2024,2eme visite,5.0,friends,928,"Toujours aussi délicieux! Un serveur au top, un chef brillant, des plats magnifiques, gourmands, épurés ! Excellentissime
Sans nul doute le meilleur rapport qualité prix à Lyon ! La qualité d’un étoilé à prix doux"
14,Séverine R,854s_veriner,5 mars 2024,A faire absolument,4.0,couples,45,"Une pépite a découvrir 
Un restaurant bistronomique , avec plats aussi beau que bons pour une note tout a fait correcte dans une ambiance décontractée "
15,sabrina d,U3630EDsabrinad,5 mars 2024,Expérience gustative délicieuse,5.0,friends,2,"J'ai eu le plaisir de déjeuner au restaurant Agastache aujourd'hui et je dois dire que c'était une expérience délicieuse. Leur approche de la cuisine, basée sur l'instinct, le respect et la saisonnalité des produits, est tout à fait remarquable. La qualité des plats est indéniable, digne d'une étoile.

Le menu du déjeuner change chaque lundi, ce qui permet de découvrir de nouvelles saveurs à chaque visite.

Leur engagement écologique et environnemental est louable, notamment avec l'inclusion de l'eau filtrée sur place et gazéifiée à la demande dans leurs menus.

Pour ma part, j'ai opté pour le Menu Atsina à 26 euros, et chaque plat était un véritable délice :
L'entrée à base de Sucrine, Morcilla et Champignon était savoureuse et équilibrée.
Le plat principal à base de Thon, Chou et Granny Smith était un mariage parfait de saveurs.
Et enfin, le dessert à base d'Ananas, Chocolat Blanc et Sichuan était une explosion de goûts en bouche.

En résumé, je recommande vivement le restaurant Agastache pour ceux qui recherchent une cuisine raffinée, respectueuse de l'environnement et pleine de saveurs innovantes."
16,Eric C,Rickychab,10 février 2024,De haut vol,5.0,couples,67,"Un travail très abouti de tous les plats, un rapport qualité prix exceptionnel, un service très sympathique font de cette adresse un excellent souvenir culinaire de Lyon. Bravo, vous irez loin."
17,Daniel M,minaired,3 février 2024,Bravo,5.0,couples,185,"Merci pour votre cuisine, un peu déroutante mais très finement prépare. 
Très belle adresse je vous la conseille vivement. "
18,Potter c,potterc2022,2 février 2024,Super moment !,4.0,friends,8,"Le service en salle comme on aime, simple, chaleureux. 
Jolie découverte avec ce menu 32 euros ce midi. 
Très bon du début à la fin ! 
Petite remarque sur la quantité : on en réclamerait bien un peu plus dans l’assiette 😋"
19,ericrech,ericrech,31 janvier 2024,Excellence à tous niveaux,5.0,family,9,"Un lieu et un accueil chaleureux et convivial.
Une pépite à découvrir .Sur un plan gastronomique,les plats sont des farandoles de goûts et de couleurs 
C'est une belle découverte 
Merci"
20,thierry l,thierryl178,24 janvier 2024,Foncez ! Un menu unique le midi mais une explosion de saveurs pour nos papilles !  Un rapport qualité prix incroyable !,5.0,couples,2,Dépêchez vous de venir passer un chouette  moment  gastronomique avant l’arrivée des étoiles Michelin ! Merci pour ces délices !
21,Charlotte,S1845HRcharlottea,21 décembre 2023,Une pépite,5.0,couples,96,"Quelle découverte !! Un sans faute de A à Z 
Des saveurs incroyables, des cuissons parfaites et un personnel adorable 
Pas possible de faire mieux en rapport qualité/prix. Pour moi ça vaut un étoile 
On reviendra ! Merci pour ce moment"
22,Titus01,titus01600,15 décembre 2023,Tres bonne adresse sur Lyon,5.0,couples,10,"Un tres bon restaurant sur Lyon
Salle pleine avec un nombre de table a propos avec la dimension du lieu donc pas de brouhaha,tres appréciable.
Super plat , tres bien mangé pour un tarif surprenant pour les mets proposés.
Une très bonne adresse sur lyon
Je conseille"
23,Emma,Emmawlt,4 décembre 2023,Très bon moment,5.0,couples,237,"Un très bon moment passé chez Agastache. 
Un accueil super et des assiettes savoureuses (particulièrement l’interlude champignons !!). 
Nous reviendrons !"
24,NANOUJOSSE,NANOUJOSSE,27 novembre 2023,Parfait,5.0,friends,5,"Très belle adresse à faire et à refaire
Un accueil des plus sympathiques
Une cuisine toute en subtilité et parfaitement maîtrisée 
Ne changez rien
"
25,Inspire11530689009,Inspire11530689009,31 octobre 2023,Super dejeuner,5.0,couples,1,Une cuisine inventive et délicieuse. Le service est souriant et très à l écoute. Le tout est très abordable le midi...
26,lucciani,Sightsee25384104242,25 août 2023,Excellent !,5.0,couples,2,Accueil chaleureux ! Cuisine raffinée et savoureuse. Service impeccable. Une adresse à découvrir sans hésitation…merci
27,Valerie P,T404NFvaleriep,10 août 2023,Un soir d’été,5.0,friends,1,"Tres belle expérience culinaire un soir d’été en août 
Les desserts sont originaux et délicieux.
Bravo "
28,Rafcott,Rafcott,8 août 2023,Un vrai régal ... pour un prix très correct,5.0,family,26,"Une cuisine fort bien réalisée que ce soit gustativement ou visuellement ! Les produits sont simples mais très bien travaillés et les mariages de saveurs maîtrisés. Peut-être qu'une touche d'originalité supplémentaire, sans tomber dans l'excès de certains restaurants, ajouterait un petit plus.
Dans tous les cas, une valeur sûre où l'on se régale et pour un des meilleurs rapport qualité/prix de Lyon. Du coup cela se mérite, ce qui explique les délais pour avoir une réservation ... bravo aux 2 personnes qui officient dans cet établissement."
29,acjonetklopper,acjonetklopper,4 août 2023,Très belle découverte,5.0,couples,11,"Quelle belle découverte ! Tout était absolument délicieux,  original et soigné.
Service aimable et efficace.
Nous y reviendrons avec grand plaisir. 
"
30,Camax D,dersum,1 août 2023,Une merveille sans prétention,5.0,couples,21,Merveilleux en salle et en cuisine! De l'entrée au dessert tout était parfait! Un service simple et sans fausse note! Bravo à toute l'équipe 
31,JSRobert,JSRobert,3 juin 2023,Incroyable à ce prix là.,5.0,couples,21,"Restaurant un peu atypique 1 serveur et 1 cuisinier seulement qui produisent quelque chose d assez incroyable! 

Très belle recherche gastronomique avec de l’originalité et une capacité à revisiter certains aliments plus classiques ( la tomate sur un entremet, le melon sur un dessert succulent). 
La réalisation le dressage et la qualité des plats sont clairement au rdv. 
Tout en restant un restau cool, avec petit fond musical. Et service agréable et accessible

Ce restaurant ne cherche pas à mon sens, aujourd’hui à etre étoilé. Il n’en a pas forcément tous les codes, mais pour autant dans l assiette on s’en rapproche clairement….

Une très belle découverte en tout cas."
32,Svetlana O,Svetokh,20 mai 2023,Super!,5.0,couples,28,C’est une très belle découverte! Les plats sont très intéressantes et très très bonnes!. Le gérant est super sympa. Nous nous sommes régalés 😊je recommande vivement 
33,mary-larochelle,mary-larochelle,18 mai 2023,Une joie pour les papilles,5.0,friends,43,Nous avons les 4 absolument été enchanté par chaque plat!! Merci 👍 au chef et à l’équipe (réduite mais  efficace) en salle
34,Olivia D,K6080UWoliviad,30 avril 2023,Succulent,5.0,friends,5,"Mais quel délice, des plats inventif et savoureux ! 
L’équipe est adorable et a l’écoute du client je suis ravie de mon expérience
Ce restaurant mérite tous ces commentaires élogieux"
35,LGS2202,LeonieS22,29 avril 2023,Inventif créatif et savoureux : à faire et refaire !,5.0,couples,14,"Inventif, savoureux et original!
Des amuses bouches au dessert, tout est très recherché, soigné, créatif et original!
Nous avons adoré, mention spéciale au « fromage » qui n’est pas une tranche mais ultra travaillé et que j’ai ADORÉ!

La personne qui sert  est vraiment agréable, ils se souviennent de vous d’une fois à l’autre. 

Mérite amplement une étoile !

Seule déception : il fait vraiment anticiper sa réservation car toujours plein :-)"
36,Philippe T,423philippet,12 avril 2023,Une cuisine à son apogée,5.0,couples,97,"Le lieu ne paie pas de mine. Carte et menus, épurés au maximum, ne laissent rien présager d'extraordinaire. Pour autant, il vous faudra attendre 3 mois avant d'obtenir une table. La recette, magique : associer savamment les saveurs et porter le goût de chaque produit à son apogée. Le meilleur rapport qualité-prix de la place de Lyon. Tout simplement."
37,Mariannick G,mariannickg2023,29 mars 2023,Sublime….,5.0,friends,3,"Après avoir eu l’eau à la bouche en attendant de trouver un créneau disponible pour tout le monde, nous avons été récompensés de notre attente. C’est parfait, des plats magnifiques, des accords originaux, beaucoup de découvertes dans les différentes associations, un accueil et un service très sympathique. Nous espérons trouver rapidement un autre rendez-vous pour d’autres surprises, les menus changeant chaque semaine.
Un grand merci pour ce bon moment."
38,Joris P,jorisp844,12 mars 2023,Super,5.0,friends,2,"L’un des meilleurs restaurants auquel j’ai mangé.
De plus les tarifs sont très raisonnable.
Vous pouvez y aller les yeux fermée."
39,maxrvp20,maxrvp20,17 février 2023,Merveilleux.,5.0,friends,928,"Sans contestation le meilleur rapport qualité prix à Lyon ! Les mets d’un étoilé avec le prix d’un bistronomique ! Que dire de cette expérience culinaire, c’était divin de À à Z ! Des associations osées et délicieuses, un service aux petits soins , tout est gourmet , une déco simple et épurée , la perfection .
Tous les avis élogieux sont amplement mérités ! 3 mois d’attente pour la résa et c’est pas pour rien ! Bravo"
40,Bruno G,brunogN9957GD,16 février 2023,Des saveurs plein la bouche,5.0,couples,75,"C’est avec beaucoup d’envie que nous sommes allés en couple manger chez Agastache tant les critiques sont élogieuses.
Nous avons été ravis.
Nous avons opté pour le menu avec 5 plats pour un prix de 30 euros, ce qui est certainement le meilleur rapport qualité prix sur Lyon.
En entrée, un oignon mêlé de Saint Nectare et d’herbes, en intermède végétal (en plus du menu à 3 plats), un mélange chaud et glacé de cerfeuil délicieux, en plat principal, du veau rouge avec du haricot coco et du romarin, un pré dessert et un dessert à base de chocolat, livèche et caramel.
Comme on le voit, le végétal est très présent dans cette cuisine très inventive.
Le service est parfait.
La salle ne fait que 25 couverts avec seulement 2 personnes officiant : Benjamin en cuisine et Mathieu au service.
Tous les deux sont 2 jeunes garçons pleins d’avenir et nous leur souhaitons de continuer avec la même simplicité, ingéniosité et grâce."
41,gelette,P527OYsylvieg,14 février 2023,TOP TOP TOP,5.0,none,2,encore un établissement découvert grâce à la sélection bib gourmands.....grâce à un désistement nous avons eu de la place.....ce que je n'espérais pas car toujours complet.....nous étions 2 amies ....toutes deux enchantées ......de la finesse......de la recherche et un rapport qualité/prix  TOP!  MERCI!!
42,gnafr,gnafr,7 février 2023,Magnifique surprise,5.0,couples,718,"Jolie salle de 25 couverts environ, aussi réservation obligatoire bien à l’avance.
Accueil et service avec une véritable chaleur humaine. Mathieu en salle d’une grande gentillesse. Benjamin en cuisine nous ravit les papilles. Saveurs riches, subtiles, d’une association parfaite. 
Nous avons passé un excellent moment gastronomique et pour un rapport qualité/prix surprenant à ce niveau culinaire (25€). Notons que le menu change tous les lundis.
Vraiment que des éloges à formuler."
43,francois7,francoisducarouge7,18 janvier 2023,Sublime,5.0,couples,5,Nous avons l'habitude d'aller dans ce restaurant mais il faut réserver à l'avance car sinon c'est complet. D'habitude c'est excellent mais là c'était sublime. Des saveurs qui sortent de l'ordinaire et toujours beaucoup d'invention. Des sorbets étonnants... Je conseille de prendre le menu Agastache afin de savourer la dégustation avant le plat principal et de profiter du pré-dessert.
44,RMNE,RMNE38,16 janvier 2023,Découverte gustative à prix correct,5.0,business,53,"Le chef vous ravivera les papilles 
Réservation bien à l n’avance car les places sont dure  à avoir 
Merci au chef pour ses saveurs 
Chaud froid glace surprenant….
Enfin faite vous votre idée il faut découvrir."
45,charly p,769charlyp,9 janvier 2023,Tres bien,5.0,couples,18,"Un repas gastronomique servi avec un grand sourire pour un prix raisonnable, tout était très bien pour une soirée en amoureux :)"
46,Maem,FamilleMaem,5 janvier 2023,Des étoiles plein les yeux et l'assiette !,5.0,none,2,"Gourmés nous aimons mon mari et moi nous offrir des restaurants étoilés .... 
et bien si Agastache n'a pas d'étoile, ce restaurant n'a rien à envier à ses camarades ! et avec un rapport qualité prix bluffant !!

BRAVO c'est délicieux, quel talent Benjamin ! d'un produit que l'on n'apprécie pas trop en temps normal, vous arrivez à en faire un met délicieux ! 
et Mathieu au service est adorable, efficace, et toujours avec le sourire !

Une superbe expérience gustative ! MERCI !"
47,Lardon,359guym,4 janvier 2023,Réveillon de la Saint Sylvestre,5.0,none,14,"Excellentissime.
Repas mémorable en 10 étapes.
Quel talent.
Vins judicieusement choisis.
A faire et refaire."
48,Alexandre G,V1289EUalexandreg,2 janvier 2023,Très belle expérience,5.0,none,4,"Une cuisine excellente accompagnée par un très bon service, la recette d'un grand restaurant. Je recommande fortement."
49,Didierf478,Didierf478,31 décembre 2022,Excellent,5.0,couples,153,"Quelle belle surprise. Accueil très sympathique, la carte est limitée mais c'est bien cuisiné, bien présenté et les saveurs sont subtiles. Les prix sont très raisonnables.
Seule problème il faut réserver au moins 1 mois à l'avance. C'est la rançon du succès."
50,Valérie G,458val_rieg,29 novembre 2022,Endroit plus que sympa ♥️,5.0,couples,3,Un excellent moment plein de saveurs et d’originalité en plus d’un service au top je recommande fortement 👍et les prix sont vraiment corrects
51,Magali C,magali34680,13 novembre 2022,Excellent …donc réservez 😉,5.0,friends,138,"Une carte simplissime…a l’inverse des plats qui sont fantastiques de saveurs, une présentation travaillée et un service efficace. Chaque plat est une découverte, laissez vous guider sans à priori!"
52,sandrine h,sandrinehoff69,10 novembre 2022,Très belle surprise,5.0,couples,1,"A la lecture du menu pas emballé mais quelle surprise dans l’assiette 
Tout est très bon et droit en cuisine 
Assez moderne avec pleins d’intentions pré entrée pré dessert ... le tout excellent 
Un beau moment je recommande"
53,Mathias l,526mathiasl,4 novembre 2022,A faire une fois dans sa vie.,5.0,friends,9,"Voilà un restaurant qui vaut vraiment le détour. Le chef est très créatif, avec des plats dignes d'un étoilé, le service est rapide efficace, et donne de très bons conseils au niveau des vins.
Merci pour ce moment."
54,blackos42,blackos42,3 novembre 2022,Une perle lyonnaise !,5.0,none,22,"Nous nous rendons régulièrement dans ce restaurant depuis son ouverture et nous ne sommes jamais déçus. Le jeune chef prépare des plats excellents, le service est particulièrement sympathique et le rapport qualité/prix tout simplement exceptionnel ! Peu de choix mais une cuisine créative autour de très bons produits. Réservez à l'avance car nous ne sommes pas les seuls à avoir découvert cette perle. Le bouche à oreille fait son effet."
55,Corine Poirier,cocopoir24,3 novembre 2022,Délicieux,5.0,none,5,"Excellent repas, personnel très agréable et souriant, rapport qualité prix très correct ! Très contente d'avoir découvert cette adresse"
56,jeanclaudeb2013,jeanclaudeb2013,25 octobre 2022,Excellent !!!!,5.0,none,107,"Bravo !!! un excellent moment .
Un accueil très sympathique un service impeccable et un  chef  au Top.
Nous avons passé un super moment, les plats sont délicieux.
N'hésitez pas à vous rendre dans ce très bon restaurant.
Vous ne serez pas déçus !!!"
57,jérôme W,widemannj,24 octobre 2022,3 E,5.0,business,2027,"Excellent 
Exquis 
Exceptionnel 
Que ce soit la nourrîtes la carte des vins et le service
Un sans faute
Meilleur rapport qualité prix de Lyon actuellement"
58,Lustucru,Lustucru83,9 octobre 2022,La surprise lyonnaise,5.0,couples,1,Accueil superbe. Très agréablement surprise par le rapport qualité prix. Un de meilleure restaurant lyonnais. Je recommande à 1000%.
59,Paul G,paulgU6746YP,21 septembre 2022,Très bon restaurant,4.0,none,2,"Excellente surprise et très bon restaurant. De passage à Lyon, nous sommes allés à l'Agastache et nous n'avons pas été déçus : bravo continuez comme ca !"
60,eric,erictB6032QN,8 septembre 2022,Le futur étoilé lyonnais ?!,5.0,couples,6,"Rapport qualité prix imbattable 
Un travail incroyable réalisé par deux personnes seulement 
Pensez à réserver bien en avance 
Bravo !"
61,Océane,jetestetjenote,8 septembre 2022,Jolie découverte,5.0,couples,4,"Restaurant testé pour le déjeuner après avoir été guidés par les avis TripAdvisor. 

Jolie découverte. Les plats sortent de l'ordinaires, les saveurs sont travaillées et le rapport qualité-prix est excellent. 

Le service était très agréable également. 

Je recommande volontiers ce restaurant. 
"
62,Justine R,616justiner,18 août 2022,Incroyable,5.0,couples,8,"Pour avoir testé de nombreux restaurants à Lyon, celui-ci reste clairement le meilleur rapport qualité/prix! Tout était excellent et très bien présenté. La salle climatisée est appréciée en pleine canicule. Le personnel est très sympa, la déco est chouette aussi! Je recommande vivement!"
63,Caroline I,carolineg472,18 août 2022,Toujours excellent...,5.0,none,47,"Je confirme.
3 visites = 3 succès !
Malgré une climatisation défaillante en ce jour de canicule, les assiettes restent merveilleuses.
Merci à vous de maintenir ces tarifs accessibles à tous ! C'est pour cela que nous revenons régulièrement !"
64,Ulysseo92,Ulysseo92,10 août 2022,Une exceptionnelle adresse,5.0,couples,109,"Trouvant au départ arbitraire le choix qui nous est laissé entre deux entrées, deux plats et deux desserts ni plus, je me laisse envoûter tout de même par ce diktat. 
Ce restaurant est à la hauteur de sa réputation et tous les plats, de l'entrée jusqu'au dessert n'a été que du bonheur. Et même le simple fait des différentes textures souvent glacés a été une agréable surprise. Je comprends pourquoi ce choix délibéré de réduire la carte puisque le chef sublime dans l'art de donner du bonheur dans nos assiettes. 
Seul bémol est le service un peu long mais étant deux jeunes qui tiennent cet établissement, il n'en reste pas moins une référence sur Lyon."
65,Belette01,Belette01,10 août 2022,Tres belle surprie,5.0,family,150,"Invités nous ne connaissions pas du tout mais quelle belle surprise du début à la fin  , produits super bien travaillés,  pas d'attente et un service sans reproches , continuez ainsi . Bravo "
66,Thomas L,C4052ARthomasl,22 juillet 2022,Parfait,5.0,couples,2,"Parfait, allez y les yeux fermés avant que les prix montent. Service très agréable. Par contre prévoyez plusieurs mois a l'avance pour réserver."
67,Anne Lecomte et Jean Louis De Coen,Lecdec,18 juillet 2022,Étonnant,5.0,none,63,"Nous y avons déjeuner ce midi et ce fut excellent mais qui plus est étonnant. Le repas était composé de produits de qualité sans qu’ils soient dénaturés.
Un vrai plaisir"
68,natalie L,nataliel736,12 juillet 2022,Magique,5.0,couples,33,Tout était réussi de la mise en bouche au dessert. Le service est souriant et efficace. On a passé une super soirée.on reviendra
69,mariepierrefonta2017,mariepierrefonta2017,7 juillet 2022,Cadeau Noël,5.0,family,32,"Remarquable 
Nous sommes allés de découvertes en découvertes aussi bien gustatives que visuelles de l' entrée au dessert en passant par le fromage. 
Tout est revisite et travaille avec grand talent 
Le seul bémol,  victime de votre succès pas de place pour l' imprévu d'un soir"
70,jacquelineM,jmirabaud2,5 juillet 2022,Excellent déjeuner et moment agreable,5.0,couples,503,"C est la première fois que nous tentions ce restaurant et nous n avons pas été déçus …. Bien au contraire. Nous avons été surpris par la carte où ne figurait qu un seul menu avec 2 choix possibles pour les plats principaux. 
Après cette étonnement nous sommes partis vers un « paradis gustatif « avec des saveurs délicates et audacieuses, des cuissons parfaites … un véritable plaisir pour les yeux et les papilles. On sent un passage chez des grands maîtres !!!! 
Le service est au diapason de la cuisine avec un très gentil serveur. 
La déco est simple mais agréable. On s y sent bien.
Une chose est certaine ; nous reviendrons ….. 
vraiment a conseiller
Bravo au chef et son adjoint en salle"
71,Palindrome69,Palindrome69,20 juin 2022,Le summum du Bib gourmand !,5.0,none,351,"C'est une adresse très courue, et l'on comprend pourquoi. Excellent rapport qualité-prix dans le registre semi-gastronomique : 35 euros pour une offre épurée, deux choix d'entrée, plat et dessert, accompagnés d'amuse-bouche, d'un interlude et d'un pré-dessert, où tout est appétissant sur le fond comme la forme."
72,mimch50,mimch50,13 juin 2022,Tout simplement FABULEUX,5.0,family,2,"Une cuisine raffinée; des accords de saveurs, textures, températures géniaux; un service impeccable. Et le tout, en toute simplicité. Nous avons adoré !"
73,Belgarath91,Belgarath91,1 juin 2022,Il ne faut pas l'ébruiter. . .,5.0,none,404,"Cuisine originale, simple et raffinée, savoureuse à souhait.
Service très sympathique.
Prix très doux au regard de la qualité.
La salle est agréable mais petite et, sans réservation, peu d'espoir de trouver un couvert."
74,Emilie P,Emiliepdw,26 mai 2022,Exceptionnel.,5.0,couples,15,"Excellent du début à la fin, service impeccable. Il n'y a pas grand chose d'autre à dire quand c'est parfait.
Le rapport qualité-prix est imbattable."
75,Lardon,359guym,24 mai 2022,Toujours aussi excellent,5.0,none,14,"Un nouveau dîner à l'Agastache et toujours autant de plaisir pour les yeux et les papilles.
Tous les plats sont surprenants et très travaillés.
Service attentionné.
Comme beaucoup nous recommanderons et reviendrons.
En fait un incontournable sur Lyon."
76,L Mercier,LAMERCIER69,18 mai 2022,Excellent,5.0,none,2,Restaurant excellent. Tout était parfait de l'entrée au dessert. Personnel très accueillant. Bon rapport qualité/prix.
77,Hugo C,hugoclermidy91,12 mai 2022,Excellent !,5.0,couples,16,"Excellent, un des meilleurs restaurants de Lyon ! On en redemande  !
Tout est frais, vegetal et travaillé. 
Les associations sont très recherchées.
Globalement on s’est dit a chaque assiette qu’on en aurait bien repris, meme si a la fin la satiété est la sans qu’on explose. 
Un petit point d’amélioration : plus de générosité sur le jus corsé qui était excellent, et un peu plus d’enchaînement sur la fin !
Le fromage revisité est une tuerie.
Le statut de bib gourmand largement mérité, on se rapproche meme du macaron !!!!
Excellent accueil !"
78,2nilt,2nilt,11 mai 2022,vaut bien plus que son BIB Michelin,5.0,none,49,"repas du déjeuner avec les ""interludes"" à ne pas rater (en réalité une 2eme petite entrée et un pré dessert).
suite à légère intolérance signalée lors de la réservation sur leur site, le chef a téléphoné pour plus de précisions et a concocté une entrée adaptée : LA CLASSE.
excellent repas tout en finesse.

merci pour cet excellent moment et les attentions."
79,Ludivine,ludms22,11 mai 2022,Parfait,5.0,couples,110,"Super expérience, découverte de saveurs surprenantes, personnel accueillant, cadre agréable, excellent rapport qualité/prix "
80,Pauline P,paupourche,10 avril 2022,Allez-y les yeux fermés !,5.0,family,76,Super restaurant fait en famille. Service et cuisine ont été au delà de nos espérances ! Manque légèrement de chaleur dans la décoration à la rigueur… On recommande x100
81,Valérie L,val_riel460,4 avril 2022,Les retrouvailles des saveurs,5.0,none,2,"Du goût dans les assiettes, une très belle présentation , un bon rapport qualité-prix, et un super accueil; BRAVO !"
82,Miss__Foodies,MissFoodiesGeneva,19 mars 2022,"Un vrai régal, l’un des meilleurs Bistronomique sans hésitation !",5.0,business,133,"J’ai découvert ce restaurant en étant en déplacement à Lyon pour le travail et j’en garde un excellent souvenir.
 
J’ai prit le menu Agastache et tout était excellent de l’entrée au dessert. J’ai adoré les entractes entre chaque plats, les produits, le lieu tout y est raffiné. Le service était à la hauteur de l’établissement, aucune fausse note. 

Le restaurant est très intimiste et le menu très abordable, bravo je suis ravie d’avoir découvert ce restaurant et le recommande vivement ! Continuez ainsi à faire honneur à ce merveilleux métier et régaler nos papilles :)"
83,leon,Scenic25460484303,9 mars 2022,Délicatesse,5.0,couples,2,"Restaurant recommande par des amis..eh bah ils se sont pas trompés. 
Super cuisine, plats saveurs et délicats. personnel serviable et très compétent.
A refaire sûrement "
84,gilles s,91gilless,5 mars 2022,"restaurant de qualité unique ,assez bon dans l'emsemble",5.0,none,1,je conaissais pas cet établissement à ma grandre surprise je l'ai découvert par une conaissance et j'en suis satisfait il fait une cuisine variée et rafinée 
85,Margaux G,margauxg478,24 février 2022,Juste parfait !,5.0,family,2,"Juste parfait
De l’amuse bouche au dessert de magnifiques découvertes, de belles assiettes. 
Nous n’avons rien laissé. 
Une excellente surprise avec l’entremet végétal au choux-fleurs. 

Mes papilles s’en souviennent encore.

Un immense bravo à toute l’équipe du service et de la cuisine.
Un des meilleurs restaurants de Lyon.

Foncez!"
86,Robert G,I5768FProbertg,24 février 2022,"Que du bonheur, un sans faute",5.0,none,1,"Ambiance feutrée, accueil chaleureux.
Cuisine créative, pleine de saveurs, présentation recherchée.
C'était une découverte sur les conseils de notre fils, nous ferons une très large publicité pour cette équipe d'un cuisinier et d'un serveur qui nous ont éblouis par leur professionnalisme.
UNE ADRESSE A RECOMMANDER."
