user,user_profile,date_review,title,rating,type_visit,num_contributions,review
valsco1,valsco1,8 février 2023,Second expérience,5.0,couples,943,"Seconde expérience chez Miraflores, 

nous avions eu la chance de déguster La cuisine du chef franco péruvien dans son ancien restaurant

Le nouveau lieu est très sympathique. La décoration vous  transporte dans son univers. La cuisine ouverte laisse entrevoir la dextérité du chef. 

Une cuisine qui vous transporte directement loins de chez vous et de vos habitudes française… un vrai voyage culinaire.

(Un bémol quand même sur le prix du menu qui reste très onéreux , pour des produits, de très bonne qualité,certe  mais pas noble .. 
on me répondra certainement que le prix de l’énergie des salaires et du caviar. Ou de la truffe Servi en quantité infime sont très cher aujourd’hui, mais nous sommes à la limite du deux étoiles en tarif … le kg de mais et de kinoa reste salé au moment de l’addition..)

«un grand merci à tous pour ce voyage nous reviendrons malgré le prix élevé car le voyage est agréable »"
Excursion632846,Excursion632846,15 décembre 2022,Exceptionnel,5.0,couples,2,"Tout au long du repas, nous avons été très agréablement surpris par le goût très original et nouveau de chaque plat. La presentation et la petite histoire sur chaque plat nous a aussi fait voyager.
Un immense bravo au chef ! "
DocMBC,DocMBC,11 novembre 2022,Dîner surprise,5.0,friends,36,"Des mets aux saveurs étonnantes et délicatement équilibrées.
 Accords parfaits avec les vins proposés par un sommelier affable et jouant de bons mots.
Bref, un voyage inoubliable au sommet du Machu Picchu.

Mais vite, sinon gare à la chute !
A minuit le carrosse peut se transformer en citrouille …"
Nalou,Now108,15 juin 2022,"Un voyage gastronomique inoubliable entre les Andes, Pérou et France",5.0,family,5,"Très grand pour ne pas dire un de mes meilleurs souvenir gastronomique. 
Chez Miraflores tout est perfection, les goûts, les textures, les saveurs, le dépaysement est au rendez-vous. Des épices inconnues qui rehaussent les plats sans jamais en écraser les goûts. Je recommande l’accord des vins grands crus pour faire de ce voyage culinaire un rêve inoubliable. 
Le service simple, souriant et élégant nous invite à suivre le chef Carlos Camino dans le voyage qu’il a préparé en véritable chez d’orchestre et capitaine de bord d’un belle brigade. Il joue un ballet dans sa cuisine visible depuis certaines tables veillant et faisant de chaque plat une œuvre d’art qui nous conduit de la vallée amazonienne aux plus hauts sommets des Andes. Merci à tous pour ce voyage que je vous invite à faire également et sans retenue."
William R,williamrO4175JT,1 mai 2022,Un voyage rempli de saveurs,5.0,none,42,"Impossible de ne pas recommander ce voyage gastronomique péruvien. Un mélange savoureux d'Amérique du sud et d'Europe pour un menu unique qui enchantera votre journée/soirée. La déco et l'accueil sont à l'unisson pour une prestation très originale et de qualité. 
Côté budget, c'est un Michelin (mérité) donc prévoir en conséquence."
bouchon,andcfrea,21 avril 2022,Voyage culinaire,5.0,couples,71,"Un voyage gastronomique au Pérou!

Cadre intimiste ; service de qualité et des plats dépaysants que ce soit au niveau du visuel ; des goûts et des saveurs

Un vrai moment de plaisir en 6 plats en plus des amuse-bouches

Bravo au chef

Soit dit en passant le bar a ceviche YKA qui jouxte est aussi une bonne adresse pr un moment partage entre amis"
Laurent,Cruiser45108374955,3 avril 2022,Sans hésitation ! Une adresse à découvrir absolument…,5.0,couples,1,"Un pur voyage ! Magnifique et délicieuse soirée, du service à l’assiette,  tout était d’une grande qualité. Bravo au Chef et à son équipe qui retranscrit dignement sa passion. Merci pour ce beau voyage."
Esperluette,esperluettee,20 mars 2022,"Foncez, voyagez",5.0,family,50,"Un vrai voyage pour les papilles. L'ambiance, la gastronomie, la déco, le service, tout est incroyable et invite au voyage.
Le menu distribué à la fin permet de garder un joli souvenir s'une soirée extraordinaire.
Seul minuscule bémol : un accord mets/vin serait vraiment le bienvenu pour accompagner ce repas divin ! "
gomillo,gomillo,8 janvier 2022,Incroyablement dépaysant et excellent,5.0,family,20,"
Cadre impeccable, simple et soft, avec vue direct sur les cuisiniers en activité. Équipe sympathique, prévenante et performante. Service rapide, bon conseils, belles explications.
Dans l'assiette, majorité de goûts nouveaux. Incroyables découvertes. Belles alliances. Beaucoup de talent.
Cinq convives, cinq personnes ravies et épatées"
David G,davidgO6915YP,8 décembre 2021,Sublime différence,5.0,family,18,"C’est pas tous les jours qu’on fait de vraies belles découvertes dans un 1 étoile. Ici tout ou presque est différent de ce nos palais français connaissent. Le tout agrément servi d’une vaisselle originale par une équipe  fort sympathique et un sommelier très pédagogue. 
Bravo à tous  et merci"
art chic,artc733,1 décembre 2021,Comment peut on donner moins que très bien à ce restaurant?,4.0,none,12,"Je ne connaissais rien à la cuisine Péruvienne. 
Quelle merveille. J'a commencé par un cocktail, le tommy. 
Puis je me suis laissé guidé par le serveur. 
Le ceviche, plat traditionnel selon mes recherches de ce pays. Avec le leche del tigre. 
Une découverte, suave, avec du caractère, de l'acidité en réserve, et un poisson délicieusement cuit sans être agressé;
J'ai adoré. 
En plus, les sièges sont confortables, ce qui est de moins courant je trouve dans les restaurants.
Ambiance réussie et choix musical a mon gout. ."
Philippe G,PhGenion,10 novembre 2021,Un magnifique voyage gustatif sans nul autre pareil. Le seul Péruvien étoilé d’Europe !!,5.0,couples,1428,"Nous avons eu énormément de chance et réussi à obtenir une table au seul restaurant péruvien étoilé d’Europe, le MIRAFLORES à Lyon. 

La salle est toute petite et face à une cuisine ouverte. L’ambiance est sombre et feutrée, beaucoup d’élégance. Deux menus sont proposés, moyenne et grande gustation. Le sommelier Baptiste Marsal est merveilleux, proposant vieux millésimes de Grüner Veltliner, vins oranges de pinot gris, muscats nature d’Italie etc etc. Je suis assis sur un divan rond en velours vert émeraude et nous portons des chemises rouge foncé. Quelle superbe ! 

Pour démarrer, Gin d’Amazonie avec Tonic à la Gentianne, et en mises en bouche, cube de pain de pommes de terre de Nasca et beurre sous peau de piment rouge doux, le tout reconstitué en forme de piment. C’était beau comme Isabella Rossellini dans Blue Velvet. Pour suivre un macaron presque virtuel tant il disparaissait en bouche et poudre de tomates anciennes (du Pérou, oui, d’où viennent les tomates en plus, précise le chef). À côté un cromeski qui me laisse encore pantois tellement c’était bon, du coup j’étais tellement paf que j’ai oublié l’explication. Oh hé ! On mange ici. (On a redemandé et c’était piment jaune et une autre variété de pomme de terre très particulière). C’était juste géant. 

On continue ces découvertes colorées avec un taco végétal farci de du elle de légumes et crème à la chicha de colla, une boissons traditionnelles péruviennes. La texture du taco ressemblait à un tissu style feutre. En bouche ça fondait en développant un côté épicé et végétal au fur et à mesure de la mastication. Un peu de caviar (Uruguayen cette fois) et quelques pétales de fleurs jaunes venaient corser la partie du milieu. C’était très bon même si cela aurait pu bénéficier d’un peu plus de sel. 

En salle, n’est Madame Nadège, compagne du chef Carlos Camino qui est la maîtresse des lieux. Elle orchestre le ballet des cuisiniers qui sortent de leur antre pour nous apporter leurs créations. 

On a continué sur un splendide ceviche de maigre, avec crevettes et lait de crevettes. C’était magnifique. 

Un plat inspiré de la cuisine Nikke, liée à l’immigration japonaise au Pérou, un plat très végétal accompagné de chair de poulpe, fèves edamame, purée d’edamame, salade de feuilles style “forêt vierge” plus un croustillant en forme d’arêtes de poissons mais en fait constitué de tomates arboricoles !! Sauce de soja, sake et jus fermentés. Fabuleux. Une explosion en bouche difficile à décrire. 

Alors que j’étais déjà occupé à essayer de réserver chez Central à Lima, arrive le plat suivant, axé sur… les céréales !! La célèbre Quinoa en trois textures, quinoa blanche et rouge en “risotto” avec cèpes français et bolets jaunes péruviens, espuma de lait de quinoa et quinoa soufflée, plus balsamique de café péruvien. 
Le tout était présenté dans un bol et à manger avec une grosse cuillère en bois. Et c’était formidable. 

Enfin un plat de viande. Je m’attendais à du cochon d’Inde mais l’état français interdit de les manger. Didjoss !! Donc ce fut volaille de Bresse au vin jaune !! Une des recettes françaises préférées du chef. Mais pas avec des morilles mais un condiment fait de blettes et d’un piment péruvien poussant à 2000m d’altitude ! C’était excellent. La volaille était splendide et la sauce fantastique. Je n’en reviens pas. Quelle perle on a dénichée ici ! 

En pré-dessert, un granité râpé en salle via une machine infernale installée sur un chariot et ornée de pingouins (je ne rigole pas) agrémentée de sirop de poire de terre et aromatisée au jus de petites baies en spray. Très bel effet trou normand ! 

Enfin, le dessert, une sphère de cacao recouverte d’argile comestible du lac titicaca, contenant une ganache de cacao blanc, shiso plus glace à la mélisse et râpures de chocolat. En plus dans l’assiette, quelques cristaux d’une sorte de sel très particulier, suret et acidulé, à casser pour agrémenter quelques-unes des bouchées. Fort beau dessert aussi bien visuellement que gustativement. 

Une jolie boîte pour suivre contenant un trésor de mises en bouche. Cafés et miel péruvien. 

Du début à la fin ce fut intéressant, passionnant, étonnant, surprenant, délicieux et remarquable. On a mieux mangé ici que chez Mirazur. C’est le meilleur repas de notre voyage après Alexandre Mazzia. 

Un grand avenir s’ouvre pour cette maison. 🌟 💫 + 👍🏼👍🏼"
Pompon_11,Pompon_11,28 septembre 2021,Un enchantement!!!,5.0,none,51,"Comment sommes nous passés à coté de cette pépite gastronomique?
Précipitez vous dans cet établissement où tout n'est que superlatif.
Chaque plat en plus d'être magnifiquement présenté, est un enchantement, une surprise, une explosion délicate de saveurs extraordinaires et originales.
Service délicat, attentif, professionnel.
La dernière fois que nous avions eu un tel étonnement gastronomique et gustatif, c'était chez El BULLI !
Bravo à Carlos CAMINO et à toute sa brigade, ce diner d'anniversaire restera un moment inoubliable."
Big Lau 44,Cruiser30477005778,14 septembre 2021,Le wine pairing est INADMISSIBLE,2.0,couples,1,"Service : 4/5 avec mention spéciale pour le chef qui est sympathique et avenant.
Repas : 4/5 même si un plat du 6 services et un entremet ont déçus car inutiles
Wine pairing : 0,5/5 INADMISSIBLE tant au niveau du prix que de la qualité. Sur 6 vins (2 vins Autrichien dont un à 5,78€ prix de la bouteille dans le commerce) et on nous a facturé 18€ pour un verre en fin de repas alors que la bouteille se vend 19,45€ dans le commerce…"
Sophie R,P3162WJsophier,3 septembre 2021,Splendide!,5.0,couples,9,"Vous voulez être surpris? Le Miraflores est là! Service impeccable, mets franco-peruviens avec une petite touche japonisante... fabuleux. Les saveurs, les couleurs, la vaisselle, la déco, tout étonne. On reviendra."
scorpiobe,scorpiobe,4 juin 2021,Petit dîner traditionnel péruvien en terrasse,5.0,solo,166,Dîner en terrasse ce vendredi soir. Beaucoup de chance d'avoir la dernière table solo. Cuisine excellente. Ai pris traditionnel cevice et empanadas... Divin... Personnel très sympa... Je reviens dès que possible... 
Serge,SERGI01500,22 octobre 2020,Exceptionnel,5.0,couples,8,"Repas ce jour, accueil sympathique, cadre moderne, et la, départ pour un grand voyage, apero pisco citron et blanc d œuf très bien, deux amusés bouche originaux très bon, 1er plat très bon aussi je n explique pas tout (il faut impérativement y aller).2 ème plat ceviche de mérou (extraordinaire) alliance de goûts et de saveurs, surtout ne pas le louper. Après millefeuille de loup et caviar d une grande finesse, 1er dessert 2eme dessert, avec un chardonnay du Chili très bon, je tiens à signaler le service 2 petites jeunes très bien et une responsable très compétente avec une bonne connaissance des vins  merci pour ce bon moment"
franckb923,franckb923,3 octobre 2020,Alors la France se veut le,5.0,none,15,"Alors la France se veut le pays de la gastronomie ? Mais le Pérou n’a rien à lui envier ! Surtout quand on déguste les plats du miraflores ! Ces saveurs inédites vous enchantent et vous êtes comblés.
Vraiment une belle découverte qui mérite d’être propagée... la brigade travaille devant vous et vous découvrez après la vue, le goût !
Bref il faut y aller... même si c’est un peu cher ( a côté ils ont ouverts un bar à ceviche à des tarifs très normaux !), ça le vaut bien pour un restaurant gastronomique !
"
Stéphane M,805st_phanem,19 septembre 2020,"Ici, c’est un endroit où la",1.0,none,13,"Ici, c’est un endroit où la qualité de la nourriture n’a d’égal que la médiocrité du personnel en salle. De l’amateurisme, un désintérêt évident pour la notion de service client. Nous habitons juste à côté. Nous avions déjà été déçu une première fois en juillet. Nous avions mis cela sur le compte de la reprise, du personnel d’été. Visiblement, mi-septembre, rien n’a changé. Bref, une bonne adresse à surtout éviter..."
Laurent G,LaurentG277,6 septembre 2020,dépaysement garanti !,5.0,none,9,"bravo le Miraflorès ! accueil, cuisine, service, tout est impeccable. le chef a même réussi à faire aimer la viande à mon épouse : c'est une véritable prouesse.
Nous avons eu la chance de diner dans plusieurs étoilés et avions perdu l'excitation de la ""première fois"", les repas se suivant et se ressemblant trop... mais hier soir, retour au plaisir de la ""découverte"" : derrière une mise en place classique (amuse-bouche, premier plat, poisson, plat principal, dessert, mignardises, le tout en accords mets et vins), nous avons adoré les gouts nouveaux, exotiques, sous une présentation agréable et originale. Bref, allez-y !!!"
BLANCGenilac,BLANCGenilac,31 juillet 2020,Un voyage au Pérou gustatif,5.0,couples,331,"Voyage merveilleux au Pérou, personnel super attentionné, qui se présente comme notre guide pour un voyage gustatif, cuisine ouverte, le Chef en face qui s'active aux fourneaux, beaucoup de choses faites sur place, plat très frais, plein de couleurs, commencez par un cocktail le Pisco Sour, citron blanc d'œuf, très frais, le ceviche excellent, tartare de poisson, caviar du Pérou, caille ""caja china"" cuite au barbecue inversé...... Beaucoup de granité, avec cette chaleur c'était très agréable, nous étions très bien installés sur un canapé, et une grande table à nous deux, nous étions seulement 2 couples, ce restaurant mérite le détour, si vous allez à Lyon et si vous voulez faire un tour au Pérou. Nous recommandons. "
Julie D,I9197BPjulied,25 juillet 2020,Excellent,5.0,none,8,"Parfait à tout point de vue, nous avons très bien mangé, découvert des saveurs et des aliments originaux. Le service était aux petits soins. Le ceviché était excellent."
henri f,henrilyon,21 juillet 2020,Un très beau voyage culinaire,5.0,none,217,"Nous avions choisi le menu Sierra et ce fut une découverte gastronomique délicieuse.
Surprises gustatives et visuelles, service attentionnée, décoration originale et cuisine ouverte sous vos yeux.
Je recommande fortement ce restaurant qui ne mérite absolument pas la perte de son étoile. Le guide Michelin ferait bien de revoir sa copie.
Prévoir une petite laine pour les frileux car la clim fonctionne très bien.
N'hésitez pas l'évasion vers la Pérou , spécialement le cocktail Pisco Sour et le ceviche Pantera."
atigmh,atigmh,21 juin 2020,Pour la découverte de la gastronomie peruvienne,5.0,couples,2,"Amoureux des bons plats péruviens, voici l adresse a découvrir ! De l accueil aux plats, tout est parfait. "
Eric Bugnard,EricB8334,23 février 2020,Extraordinaire,5.0,business,40,"Que dire, j'ai été tout simplement surpris et quelle découverte! La cuisine est excellente, le service au top, une très belle découverte j'y reviendrai
Un Conseil, goûtez au Ceviche c'est une bombe "
Tania mts,taniamts,19 février 2020,Comme une envie de Pérou...,5.0,friends,3,"Des saveurs et une fraîcheur des plats,un régal. Les assiettes sont dressées pour le plaisir des yeux. On reçois un service attentionné et chaleureux, le perou on y est"
PZ_en_ballade,PZ_en_ballade,16 février 2020,Déception,3.0,none,7,"Quelle succession de déceptions après ce repas au Miraflores : placés près de la porte d'entrée et des toilettes (pas top !!), plats très bien présentés mais servis en trop petite quantité, liste détaillée des ingrédients péruviens ou d'ailleurs ... mais pas de sensations particulières en bouche (la figue congelée rappée n'a aucun goût). Point positif, le personnel est prévenant ... mais le chef ne daigne pas faire le tour de la salle !! Le rapport qualité/prix n'y est donc pas car l'addition n'est pas en sols péruviens ... mais bel et bien en euros !! Bref, côté restos à Lyon, le Miraflores, c'est pas le Pérou !!"
Martine N,LyonMartine,25 janvier 2020,invitation au voyage,5.0,none,4,"Une cuisine incomparable et créative qui donne à découvrir des saveurs nouvelles. Dans un cadre chaleureux et sans ostentation, chaque plat et sa présentation sont un subtil étonnement. "
Charbonnel69,Charbonnel69,1 janvier 2020,Voyage au Pérou,5.0,couples,64,"Une cuisine originale à découvrir. Un vrai voyage initiatique. Une idée originale : les plats son assemblés devant les convives, ce qui rajoute une touche supplémentaire.  Le Miraflores reste sans équivalent."
SoRich,SoRich213,17 décembre 2019,"Nouvel endroit, nouveaux plaisirs",5.0,couples,5,"Première visite au nouveau restaurant Miraflores situé au Boulevard des Belges.
Incroyable expérience ! 
Le cadre est vraiment magnifique, moderne, épuré. La cuisine - péruvienne donc - est très travaillée, les saveurs sont au rendez-vous et les produits utilisés sont vraiment originaux. De plus, les portions sont  généreuses comparées à d’autres restaurants de ce type.
Le service est impeccable, au petit soin sans être trop guindé. Les accords mets et vins proposés sont eux aussi très savoureux et originaux, un réel voyage hors de nos frontières. 
Un grand bravo à toute l’équipe, vous méritez bien plus qu’une étoile ! ⭐️⭐️⭐️"
FamilleBenetsus,FamilleBenetsus,15 décembre 2019,"Un très bel écrin, excellent service  mais déception sur les plats.",4.0,none,19,"Nouvel écrin pour le Miraflores. Très belle décoration. Service de haute qualité pour un voyage business class. Présentation des plats superbes. Menu Sierra très appréciable, bœuf succulent. Très bon choix accord mets et vins. Malgré tout, déception sur le plan gustatif pour le reste des plats pour 200 euros /pers avec les vins. Rapport qualité-prix décevant. "
Julie H,Z7549SHjulieh,18 juin 2019,Voyage gustatif au Pérou,5.0,couples,7,Première expérience dans la cuisine péruvienne qui nous a fait voyager. Chaque plat nous apportait de nouvelles surprises pour les papilles. Une cuisine très fraiche relevée comme il faut par une pointe d'épices et un très bon équilibre des saveurs. Un voyage mémorable à travers la cuisine péruvienne que je recommande vivement.
Nicolas G,nicolasgJ4754OZ,24 mai 2019,Enfin un étoilé moderne !,5.0,couples,3,"Superbe decouverte ! Malgré notre retard nous avons eu droit a un accueil très chaleureux ! Musique d'ambiance au top et équipe très souriante et décomplexée. La decouverte des saveurs et des textures sont au rendez vous, génial l'idée d'avoir des serveurs qui sont aussi cuisiniers ! Là, plus aucun doute sur ce que vous retrouver sur votre assiette,c'était délicieux ! Bravo a toute l'équipe ! En particulier a la sommelière pour ce voyage au Pérou! Hâte de vous visiter dans le nouvel établissement."
jeanpierre78,jeanpierre1978,22 mai 2019,VOYAGE AU BOUT DU GOUT,5.0,couples,2,"Une super expérience, des plats qui font voyager, les portions sont un peu légère, une belle découverte quant même.
Nous avons énormément apprécié cette merveilleuse cuisine péruvienne, le raffinement du Chef, les explications et le service de la Sommelière.
De tous les restaurants étoilés que j'ai essayé sur Lyon, Miraflores est certainement le meilleur, pour le moins le seul qui sais vous faire voyager et vous sortir de la routine des produits francais traditionnels."
Emilie P,901emiliep,8 mai 2019,"Incontournable à Lyon, superbe escapade!",5.0,friends,54,"Excellente adresse, cuisine goûteuse, généreuse et subtile.
Menu dégustation tout en surprises!
Maitre d’hôtel extrêmement précise sur la description des plats et des vins.
Service décomplexé très avenant.
Mérite largement son macaron Michelin! "
dandyvelvet,dandyvelvet,25 avril 2019,Exceptionnel!!,5.0,couples,20,Intrigué par le principe d’un restaurant franco péruvien nous avons tenté l’expérience en couple. Et le résultat était encore au delà de nos attentes ! Service impeccable et souriant. Et les plats carrément fabuleux!! Vraiment génial de découvrir des saveurs nouvelles venant du Pérou. Nous y reviendrons avec plaisir et le plus tôt possible!
Aupiau,miniaudrey176,20 avril 2019,Une expérience culinaire très agréable,5.0,couples,46,"Le chef nous emmène au Pérou en travaillant des produits locaux d’une façon divine. 
Le poisson du ceviche était incroyable et nous n’avons jamais mangé un magret de canard aussi bon. 
Un vrai régal pour les papilles et une découverte culinaire qui nous a donné envie de voyager. 
Merci pour ce moment donc"
SB753,sb69002,18 avril 2019,Voyage aller pour le Pérou!,5.0,none,57,"Dès l’entrée dans le restaurant, on prend un billet direction le Pérou! 
Salle très bien décorée et sobre, cuisine gastronomique très fine qui nous fait découvrir les goûts péruviens (menu à 79 euros largement suffisant, les goûts sont exquis) et service impeccable. Bref, n’hésitez pas, foncez réserver une table!"
CYR B,cyrille479,14 avril 2019,Beau voyage,4.0,friends,81,"C'est beau, c'est bon, dépaysement gustatif garantie, l'accord mets vins et juste parfait.
Le service est discret, sobre et très pro.
Bravo !"
