user,user_profile,date_review,title,rating,type_visit,num_contributions,review
eric g,ericg734,26 avril 2024,Très très bon,5.0,couples,567,"Une salle moderne où toutes les tables regardent vers les cuisines, permettant aux convives d'observer le ballet du service en salle sans que les clients ne se tournent le dos 
Tout est très bon ( les amuses bouches n'ont guère d'intérêt pour moi, manque de saveur) on découvre une nouvelle cuisson du poisson grâce à la cire d'abeille, ce qui le rend moelleux, le bœuf wagyu est exceptionnel 
Le menu à 230 euros vaut le coup pour gouter l'ensemble des plats signatures 
2 étoiles et 17/ 20 au G et M, pas de doute, vous y passerez un bon moment "
Voyagegolf,Voyagegolf,22 avril 2024,Tout en délicatesse,4.0,couples,654,"La salle est jolie, petite, feutrée. Bien accueillis, la table est élégante. On attend un peu trop pour la prise de commande mais les mises en bouche sont aidantes. Deux menus, je choisi les copeaux de foie gras, le pigeon et le dessert à base de clémentine. Le foie est parfait, la sauce au kiwi qui l’accompagne est bien vue. Le pain est une merveille. Le pigeon est bien, je regrette toutefois la partie pastilla servie trop chichement et le manque de légumes en accompagnement. Les desserts sont vraiment parfaits et équilibrés.
Les vins proposés sont adaptés. Le café est un peu juste en saveur.
Au global une bonne adresse"
Heytoilabas,Heytoilabas,10 avril 2024,Superbe expérience,5.0,solo,5,"Mon premier restaurant gastronomique deux étoiles, une superbe expérience. Un super accueil à la fois professionnel et chaleureux. 
Les plats sont magnifiques et d'une qualité parfaite, il n'y a pas d'autres mots. Ayant pris le menu dégustation la quantité était nickel."
Guide50250292757,Guide50250292757,3 février 2024,Mécontentement politique de réservation,1.0,friends,1,"Malheureusement, nous n’aurons pas le plaisir de découvrir ce restaurant à cause d’une déplorable politique de réservation : La demande était de 8 couverts pour Avril , la réponse du restaurant : A partir de 7 couverts, il n’est pas possible de choisir sur place. Nous envoyons les propositions et demandons à nos clients d’anticiper leurs choix de menus et de nous en faire part , ou la possibilité de faire confiance au chef. Afin de valider cette réservation, nous vous demandons de régler un acompte de 880 euros avec un RIB  ci joint à prélèvement immédiat.
Comment choisir un menu en Février pour un dîner Avril !!!!!! A un niveau de ce type d’établissement et de tarifs (que nous assumons entièrement ),  on en oublie le client !!
Nous comprenons vu l’indélicatesse de certains clients , la prise d’une empreinte bancaire.
Celle ci aurait suffit.
Nous pouvons donc penser que vous n’avez  pas besoin de clients. D’autres restaurants de votre niveau sur Lyon , sont moins compliqués et disposés à nous accueillir ….. dommage"
Guy$$$,gknepper,30 janvier 2024,"Déjeuner d'affaires. Quelle révélation ! Au lieu de parler ""affaires"" nous étions fixés sur les plats ! Bravo !",5.0,business,27,"Absolument fabuleux de A à Z ! L'accueil était simplement parfait ainsi que le service en salle. Tous les plats étaient digne d'un 3 étoiles *** car très recherchés et raffinés. Explications des plats et des vins du plus haut niveau ! Un restaurant incontournable pour les fans de cuisine ""haute gastronomie"". Serais pas étonné de le voir très prochainement parmi les 3*** dans le guide Michelin ou les 18.5/20 du Gault & Millau."
Thierry P,thierryp117,14 janvier 2024,à faire,5.0,family,46,"Ce repas de samedi restera un sacré souvenir : le cadre, l'accueil , le service et surtout des plats d'une créativité , d'un aspect et d'un goût extraordinaire , des mises en bouche aux gourmandises tout était parfait  . Merci"
Kine69009,Kine69009,30 décembre 2023,dommage...,3.0,friends,28,"j'étais déjà venu il y a 5 ans environ, avant la deuxième étoile, déjeuner superbe et inventif, dans une ambiance professionnelle mais détendue, un vrai bon moment de partage. Nous voilà aujourd'hui, avec une étoile de plus, des tarifs multipliés par 2,5, une sensation de gestion comptable des quantités, les verres de vin très ordinaires, les tranches de fromage translucides tant elles sont fines, le tout enrobé de cette bienveillante obséquiosité typique des étoilés...je ne serais toutefois pas juste si je ne soulignais la très grande qualité des produits, les présentations superbes, le service chaleureux. ce commentaire n'a pas d'autre objet que de demander un peu plus de générosité, cela ne coûte pas grand chose et peut apporter beaucoup...n'oublions pas que nous sommes à Lyon."
Frederic G,fredericg434,24 décembre 2023,Unique.,5.0,family,127,"Haute cuisine inventive et incroyablement précise, présentations sophistiquées, on est dans un deux étoiles Michelin. Service attentif mais pas pesant ni obséquieux. L'omble chevalier cuit dans la cire d'abeille est magnifique, les artichauts caramélisés aussi. De manière générale tous les légumes sont parfaits, ce qui est suffisamment rare pour être signalé. Les desserts ne sont pas en reste, la technique de précision du chef et de ses pâtissiers s'illustre là aussi. Plateau de fromages remarquable. Bravo bravo! Le seul bémol (minime) concerne la salle un peu impersonnelle, mais sans faute de goût. M. Roure prend le temps de saluer les clients, ce qui est toujours très agréable. Félicitations à toute l'équipe en cuisine et en salle, une expérience unique ! Compte tenu du prix (largement justifié), on ne reviendra pas tous les jours, ni même toutes les semaines ou tous les mois, mais je ne regrette pas un seul des euros que j'ai dépensés!"
aurelie691,aurelie691,5 novembre 2023,Une explosion de saveurs,5.0,couples,66,"Mon compagnon m'a fait la surprise de réserver dans ce restaurant quel régale! Tout est divinement bon personnellement je suis plus une amatrice de plat salé alors j'ai peut être moins été conquise par le dessert mais aucune fausse note dans l'ensemble du menu le service est agréable et le chef vient nous saluer à la fin du repas.
Mes restrictions alimentaires ont bien été prises en compte.
C'était un moment magnifique une explosion en bouche on recommandera sans hésiter même si bien sur ça représente un budget."
Matthieu T,turboostmatt,2 novembre 2023,Il faut aimer le style sobre,4.0,couples,263,"Sobre, efficace.
J'aime bien les restaurants mais jamais fait d'etoilé.
Les cuissons étaient parfaites et le pigeon excellent. Le reste est un très très bon repas, ce sera apprécié des connaisseurs, je n'en suis pas.
On ne voit pas le temps passer ce qui est signé qu'on passe un bon moment.
On n'a plus faim en sortant.
C'est un restaurant de dégustation et non d'expérience."
cath59722017,cath59722017,23 octobre 2023,Magnifique,5.0,family,35,Nous sommes venus un samedi midi et nous nous sommes  régalés du début à la fin du repas. Le service était très bien aussi. Ce restaurant mérite ses 2 étoiles.
FautOuPas,FautOuPas,10 octobre 2023,Excellent,5.0,couples,328,"Que dire… Aussi délicieux pour les yeux que pour les papilles. Évidemment c’est assez cher mais personnellement, entre 15 McDo et 1 étoilé, mon choix est fait."
Martine C,MartineC718,28 septembre 2023,Le bonheur a l état pur,5.0,family,165,Sublime délicieux magique les mots me manquent même si ce genre de restaurant n est pas notre quotidien nous en avons fait quelques uns et il est parmi les meilleurs
Girolles38,Stef-Cath,28 août 2023,Belle découverte,5.0,family,14," Cadre très soigné, personnel charmant et à l'écoute.
Belle expérience culinaire. L'omble chevalier et son mode de cuisson est une expérience unique et inoubliable.
Bravo !"
Cecilia,princessesushis,26 août 2023,Un très bon déjeuner dans l'ensemble,4.0,friends,384,"Nous avons connu ce restaurant il y a 10 ans et nous l'avions testé lorsqu'il était encore situé sur Saint Etienne. Cette 1ère expérience avait été fabuleuse et nous avait laissé un merveilleux souvenir. Du coup, réservation faite  avec des amis dans leur adresse à Lyon. Nous avons très bien bien mangé dans l'ensemble mais avons trouvé que c'était en deçà par rapport à notre 1ère fois. Pas convaincus par l'omble chevalier cuit à la cire d'abeilles (même si l'idée est très originale) que nous avons trouvé fade. Pas emballés non plus par le plat de viande (boeuf et céleri) et par le dessert à base de cerises (trop simple à notre goût). Coup de coeur pour les différentes ""mises en bouche"" (dont les oeufs de caille), les entrées à base d'escargots et de chair de tourteau. "
Léo,Tatooboy,24 août 2023,Un sans fautes de A à Z,5.0,couples,4,"Ce restaurant mérites le prestige qui lui est offert, un accueil très chaleureux et très agréable de la part de la gérante. Notre table été bien situé, près d’une fenêtre et assez espacée des autres tables. Le restaurant est très calme et reposant, les plats sont délicieux et recherchés et nous font vivre une réél expérience gastronomique et sensoriel, nous reviendrons très certainement."
Mag-Gui C,magguic,7 août 2023,11 ans,5.0,couples,26,"J'avais déjà essayé de réserver auparavant,  mais sans succès,  victime d'ailleurs du leur...
Je comprends maintenant certains avis qui réclament une 3ème 🌟 amplement mérité...
En ce qui concerne les plats , vous n'aurez aucune photo , ni commentaire,  tout ce que je peut dire , c'est :"" allez-y , cela vaut vraiment le détour !!""
Un Chef qui nous a fait voyagé,  une Équipe extraordinaire orchestrée par un responsable de salle et un sommelier tout aussi irréprochable...
Un grand merci aussi à Madame pour la petite attention , à notre départ ...
Vous êtes extraordinairement complémentaires quand au plaisir que nous avons ressenti aussi bien au Niveau de l'accueil,  qu'au Niveau de l'assiette 😉
A très vite !
"
Marc M,M6261SImarcm,7 août 2023,Etape à ne pas manquer,5.0,family,21,"Superbe moment. Service attentionné et prévenant. Cuisine inventive. A tel point que pour certains plats, les sauces d'accompagnement sont presque superflues vu les saveurs initiales .Grands moments avec les mises en bouche et les mignardises et bien sûr l'ensemble du menu en cinq étapes. 
De très bons vins au verre ce qui permet de découvrir en fonction des plats.
Le prix est un peu élevé mais reste  tout à fait correct au vu de la prestation globale.
Une excellente soirée."
FTU,FTU,7 août 2023,Bien mais exception aux règles vestimentaires,4.0,family,71,"Un beau souvenir culinaire en famille on a regretté le peu d'efforts vestimentaires de certains clients. Il est pourtant bien spécifié qu'une tenue correcte est exigée mais le pouvoir d'achat de certains clients font peut-être l'exception. Dommage... Short, tennis et tee-shirt pour un 2 étoiles on aurait pu faire mieux comme voisins de table."
antoine a,334antoinea,2 août 2023,Conquis par notre dîner,5.0,couples,12,"Quelle belle expérience. Nous avons été conquis par la justesse des goûts, des amuses bouches au dessert. Le service est  de qualité, nous avons par ailleurs découvert un très bon vin. Félicitations au chef et à ses équipes. "
THOMAS_LY,THOMAS_LY,29 juillet 2023,Simplement Exeptionnel,5.0,family,6,"Pour la seconde fois, cette fois ci en famille, le voyge des saveurs est toujours au rendez vous! !
Chaque bouché est divine.
Les plats des enfants furent très appréciés.

‘Papa je veux  un morceau de beurre sur mes purée ‘’"
Denis M,denismR7802KE,23 juillet 2023,Un excellent 2 étoiles,5.0,couples,2,"Magnifique expérience : qualité de l'accueil, du service et surtout de l'assiette. Simplicité du chef et de ses équipes. Découverte de vins superbes comme le beaujolais blanc de chez Jules Desjourneys. Très bon rapport qualité/prix. Expérience à renouveler."
MG D,mgd384,21 juillet 2023,Très bon moment....jusqu'à l'addition,4.0,couples,1,"Un très bon restaurant gastro, proposant une cuisine inventive et surprenante, tant dans la présentation que dans les saveurs travaillées. La salle est très joliment décorée, même si l'on s'attendrait à un cadre un peu plus ""cossu"" pour un 2 étoiles. L'équipe est assez pro et avenante. Bref, un très bon moment passé à l'occasion de l' anniversaire de mon mari. Seul bémol, au moment de l'addition, la patronne me faisant une réflexion déplacée  sur le fait que ce soit moi qui tende ma carte bancaire : ""ah, c'est madame qui paie, ah bon... bon, why not!"" nous renvoyant cinquante ans en arrière et émaillant cet excellent moment passé dans son établissement.... mais pas grâce à elle!!"
Olivier V,485olivierv,6 juillet 2023,Du vin du bugey et du beaujolais village. On se moque du monde.,3.0,couples,989,"Rien d’exceptionnel à part le sublime pigeon bien sûr. Sans mauvais jeu de mot… quoi que. Une expérience très éloignée d’un 2 étoiles. Des accords met vin discount.
Et pourtant nous en avions gardé un souvenir ému lors de notre premier passage.
Très déçus.
Service approximatif. Pas de sommelier.
La rançon du succès ?"
Jeez69,Jeez69,28 juin 2023,Excellent,5.0,family,73,"Niveau cuisine tout est parfait , goût,délicatesse, originalité ainsi que la perfection des cuissons ( incroyable omble cuit à la cire d'abeilles chaude ).Bravo . Nous avons cependant regretté l'absence de nappe sur les tables , ainsi que l'incapacité d'un serveur à nous servir les verres d'eau sans en mettre à côté, étonnant."
Jenny R,jennyr856,5 juin 2023,Divin,5.0,friends,2704,"Des mises en bouche aux mignardises, en passant par le plateau de fromages et la première entrée, tout est excellent au ""Neuvième art"". La finesse des produits et la belle présentation de chaque assiette ne vous laisseront pas indifférent. À noter de plus, le personnel aux petits soins et qui ne rentre pas dans le ""too much"", au contraire ! Ambiance assez décontractée.
Cet établissement mérite ses 2 étoiles au Guide Michelin !"
Loïc,Cruiser07941599151,12 mai 2023,Inoubliable,5.0,couples,3,"Le personnel de service s’est montré irréprochable et sympathique. 
A table, chaque étape a réellement été fantastique. Les assiettes étaient pleines de contrastes, tant dans les goûts que les textures. La dressage était millimétré. 
Le premier amuse bouche était à la fois fin et explosif de saveurs, et se faisait annonceur de la suite, haute en couleurs. Nous avons vraiment été transportés. 
Merci pour cette expérience parfaite comme pour la discrète attention à l’occasion de notre anniversaire de mariage. 
Nous recommandons chaudement."
Banco69,Banco69,21 mars 2023,Merveilleux,5.0,couples,30,"Super restaurant que dire ???
Pour nos 10 ans de mariage 
Peut-être la meilleure adresse à Lyon pour un gastro c’était parfait vraiment.
Nous avons noté une prise de risque du chef dans les plats et à l’arrivée le risque devient le petit truc qui fait la différence.
Bravo à vous et encore merci"
MS Eliane,Ms_Eliane,14 mars 2023,Sensationnel !,5.0,couples,531,"Très belle découverte , service impeccable. Les mets sont divins, l’équipe  est très attentionnée . Merci pour tout , nous y reviendrons !"
Lermit,Kermit-lyin2,2 mars 2023,Accueil inacceptable,1.0,none,3,"Impossible d'avoir des menus dissociés sur la table, un service froid et débutant,  le chef nous a bien comprendre qu'en son royaume c'était lui le roi. Plats corrects sans plus, on paye visiblement le prix fort la seconde étoile, car la 3ième demandera un peu de progrès sur l'accueil, la conciliation et le respect du client. Le col bleu blanc rouge ne suffit pas à se croire tout permis.

Restrictions alimentaires : Aucun arrangement possible sur les menus, malgré une contre indication médicale importante. L'origine canadienne de mes convives a donné un prétexte à la limite de la xénophobie de principe ""les nord américains sont des imbéciles""."
valsco1,valsco1,1 mars 2023,"Sans hésitation, le meilleur restaurant de Lyon",5.0,friends,943,"Nous avons eu la chance de dîner au restaurant du chef Christophe ROURE,

une expérience exceptionnelle, incomparable à Lyon de loin le meilleur restaurant lyonnais.

À chaque plat, une découverte, et une émotion ..

Vous retrouverez dans ce restaurant l’âme d’un grand chef, deux étoiles qui reste les pieds sur terre et surtout à la hauteur de ses clients. 

En bref, nous avons passé un moment exceptionnel. Nous ne comprenons pas pourquoi ce restaurant n’obtient pas sa troisième étoile, alors que le services le restaurant et surtout la qualité de l’assiette est largement au niveau par rapport à d’autres maisons visiter. 

Les grandes injustices et incohérences du guid rouge …

Un grand merci à toute l’équipe nous reviendrons très rapidement ."
zebulon007,zebulon007,1 janvier 2023,Parfait,5.0,none,61,"Nous avons passé une magnifique soirée pour ce diner en couple
Personnel aux petits soins, décoration et mise en place de qualité pour un restaurant de plain pied en centre ville.
Les plats étaient parfaitement préparés, l'accord des vins proposés au verre de très bon choix.
Coup de coeur : St Jacques à la truffe (Les ris de veau et l'accord pigeon - betterave rouge aussi !)
La présentation du saumon sur pierre ne le rend pas facile à déguster, c'est peut etre le seul point d'amélioration éventuel (même si l'idée est interessante)."
franckrosier,franckrosier,20 décembre 2022,Dîner sur un nuage,5.0,couples,223,"Très bon moment gastronomique, tout en finesse, joli travail sur les goûts et saveurs. Des serveurs très compétents malgré une déco de salle un peu froide."
Jess,jess865,18 novembre 2022,Excellent,5.0,none,19,"Nous avons déjeuné entre amis au Neuvième art. Les plats sont excellents: toute en finesse. La fraîcheur des produits, le mariage des saveurs, la présentation et la modernité des plats: tout est parfait.
Le service est excellent aux petits soins. Le lieu est très chaleureux: on sent très bien dans ce restaurant pas guindé du tout et très chic en même temps.
Toutes mes félicitations au chef et à son équipe.Nous reviendrons avec un grand plaisir!"
Dotimi28,Dotimi28,15 novembre 2022,Cuisine exceptionnelle,5.0,none,272,"Très bon accueil dans ce restaurant très épuré. Nous avons adoré leur cuisine aux saveurs parfaites. Tout est équilibré et bien pensé. La présentation est top. Les serveurs sont top et aux petits soins. Des amuse-gueules aux desserts, il n'y avait aucune fausse note. Nous recommandons vivement et reviendrons très certainement :)"
Jean-Louis G,jeanlouisg901,3 novembre 2022,L'excellence à chaque instant !,5.0,none,51,"Voilà un restaurant qui, non seulement mérite ses deux étoiles, mais en mériterait bien une troisième ! le cadre, très sobre, est remarquable de goût et de modernité. L'accueil est chaleureux et le service est précis et diligent en même temps que particulièrement cordial. Les mets sont absolument excellents, précédés par des amuse-bouche formidables. Chaque plat est remarquablement présenté, très bien composé, offrant des saveurs délicieusement harmonieuses. Le rapport qualité/prix est tout à fait favorable, compte tenu de la qualité des prestations."
Olivier L,O4643ZDolivierl,29 octobre 2022,Pour les 20 ans de notre fille,5.0,family,2,"Tout simplement exceptionnel.
Merci encore nous avons passé un sur moment gastronomique.
Notre fille était ravie de sa soirée"
Jean-marc S,Navigator399828,14 octobre 2022,un vrai bonheur.,5.0,none,20,"Ce restaurant est vraiment a faire. Les plats sont délicieux, un voyage des saveurs, personnel trés sympa,  trés joli cadre....Rien a dire. Bravo. Vous méritez amplement vos 2 étoiles.On reviendra avec plaisir."
Daniele F,T4598TKdanielef,3 septembre 2022,Un accueil décevant et déstabilisant,3.0,none,1,"Outre l accueil, le repas était correct mais en dessous de ce que nous attendions. Le service était correct bien qu il y ai eu un décalage entre le verre d'apéritif et des miniardises qui vont avec.
Nous avions pris le menu avec les vins, mais les vins n étaient pas exceptionnels."
Le Bourreau de Lyon,LyonBourreau,27 août 2022,Un moment agréable pas exceptionnel,3.0,none,356,"A l'issue d'un diner je n'ai pas ressenti ce frison qui nous parcourt parfois pendant ou après un repas. 

Certes les plats étaient bons voire très bons, certes le service était au rendez-vous mais le décalage entre le prix payé et le souvenir de la soirée est trop grand au moment de rédiger cet avis pour aller au-delà de ce 3/5 

Mention spéciale toutefois à la petite boite de mignardises que nous avons ramenée après diner"
Matthieu P,252matthieup,31 juillet 2022,cuisine d'émotions... parfait!,5.0,none,64,"A deux avec mon fils à qui je souhaite faire découvrir la gastronomie.
Deux ""grands"" menus.
Tout fait envie, et tout est bon. 
La mise en bouche est à l'image du reste : tartelette aux légumes = plat millimétré (on est MOF ou on ne l'est pas ! Ici aucun doute!), équilibre parfait, complexe, fin, tant au niveau des textures que des goûts.
La suite et le reste sont à l'amble. Tempura de sardine et oeuf de caille brûlé et toasté parfaits.
Déclinaison de tomates rafraîchissant, gouteux, équilibré.
Foie gras poêlé sans surprise. Et sans défaut! Bouillon de coquillage également.
L'omble chevalier cuit à la cire d'abeille, plat signature du chef, un régal, tout est juste, tout est bon. Non, délicieux! Merci chef Roure, quelle belle émotion et quelle poésie dans l'assiette!
Boeuf Wagyu : je n'ai pas le souvenir d'avoir mangé une viande aussi bonne et bien traitée que celle ci! 
Chariot de fromage très correct.
Pré dessert, panna cotta citron vert : top.
Dessert = cerise chaude, crémet, pain de Gênes. Parfait. Dessert un peu plus frais pour la saison peut être ?
Service très aimable, disponible. Accord mets et vins très correct. Sommelier un peu en mode automatique.
Salle agréable, ce n'est probablement pas le meilleur atout du restaurant.
Chef présent, à l'écoute, visiblement ravi de faire partager sa cuisine! Merci pour la belle dédicace, reçue secondairement, sur votre livre
Au total, excellent moment, rapport qualité prix très justifié. Quelle belle découverte pour mon fils. Et pour moi!
Je recommande sans aucune réserve!"
marie p,L9434EKmariep,20 juillet 2022,Une pépite !,5.0,couples,2,"Quelle merveilleuse découverte que ce restaurant ! En réservant on se doute que l'on va bien dîner... mais l'expérience ""9ème art"" est bien au delà : un moment unique et inoubliable. L'ensemble de la cuisine est parfaite : les plats sont tous composés de subtiles associations de goût toujours rehaussées par une cuisson originale et délicate. Le chef de salle guide l'équipe dans la plus parfaite des discrétion tel un chef d'orchestre. Les vins proposés pour accompagner les services ne manquent pas de charme et de découverte. Le petit mot de fin apporté par le chef et sa femme conclu cette expérience hors du commun... qui on espère sera la première d'une longue série."
Amina R,336aminar,18 juin 2022,Mon restaurant préféré,5.0,family,25,"Voici l’adresse que je préfère à Lyon. Délicieux, agréable et à deux pas de chez moi. Nous y sommes allés plusieurs fois (une fois enceinte et je n’avais pas pu profiter de tous les plats) et une fois récemment. Un formidable moment a chaque fois."
Xavier T,234xaviert,3 juin 2022,Une fierté pour la gastronomie Française,5.0,family,3,"Nous avons passé un moment extraordinaire !!! Des saveurs exceptionnelles, une cuisine savoureuse pleine de poésie, une belle carte des vins. Le chef Christophe Roure est un homme passionné sa cuisine est précise talentueuse et authentique. Tout cela frise le génie. Le service est à la hauteur de ces lieux  et que dire de son épouse Nati qui est juste parfaite dans la manière de nous accueillir et de nous accompagner jusqu’à la fin de ce moment fabuleux. Tout nos sens sont en effervescence au Neuvième Art. Nous n’avons qu’une hâte : y retourner au plus vite. Bravo chef et merci de nous faire partager votre talent."
SANDRINE P,638sandrinep,2 juin 2022,Un moment d'exception,5.0,couples,41,"Un moment hors du temps, un accueil à la hauteur de ses étoiles, les plats se sont succéder pour le plaisir des yeux dans un premier temps et de nous papilles dans un second temps, les vins associés aux plats sont choisis avec goût.
Nous reviendrons dans hésiter dans ce très beau restaurant Lyonnais "
christophe L,christophe218,29 avril 2022,Decouverte,4.0,family,2955,"Tout d'abord un très bon accueil et service.
La salle est petite ce qui implique de sentir les allées et venus du service.
Je suis +  fane des tables nappées, mais bon, je le savais en venant qu'elles ne l'étaient pas.
Nous nous faisions une joie de déjeuner ici. Très beau travail dans l'assiette avec des portions un peu faibles à mon goût. 
Le plateau de fromages permet de ressortir correctement rassasié. 
En fait on a tous une preference pour une cuisine, pour moi ce n'est pas celle que j'affectionne le plus. Néanmoins c'est une belle adresse."
P.ESM,ESM69,26 février 2022,Meilleur étoilé de Lyon,5.0,couples,676,"Seconde expérience chez Christophe Roure au Neuvième Art, 2 mois après la découverte de cette belle maison qui nous a tant enchantée. 

L’enchantement est toujours au rendez vous. Un excellent accueil : chaleureux et professionnel nous confirme ce sentiment dès l’entrée. 
Le service est absolument parfait et participe grandement au plaisir que l’on prend lors de la dégustation des plats. Le maître d’hôtel des lieux chapeaute avec dextérité ses équipes. Bravo. Madame Roure est extrêmement prévenante avec ses hôtes. 

La cuisine est d’un excellent niveau avec quelques notes plus contrastées pour ce second dîner. Nous avons en effet cette fois ci noté quelques irrégularités de cuisson qui ont légèrement entachées la dégustation avec des Saint Jacques sur-cuites, et une portion d’omble chevalier à la cuisson moins maîtrisée cette fois ci. L’équipe en salle est très soucieuse de notre bien être et ne manque aucune occasion de nous questionner lorsque des plats semblent moins appréciés et ou terminés. D’une rare délicatesse et cela confirme à nouveau la volonté du Chef à satisfaire le plus possible ses convives. 

Les amuses bouches sont fantastiques et mettent en appétit. À noter, une vaisselle et verrerie magnifiques. 
Le saumon mi cuit d’Ecosse et effeuillé de radis est un chef d’œuvre visuel et gustatif. Le bar de ligne est tout aussi fabuleux, un jus fermenté et quelques touches de caviar viennent sublimer ce plat avec beaucoup de profondeur. 

Le pain qui avait fait notre bonheur lors du dîner précédent était également moins agréable cette fois ci, une mie assez caoutchouteuse. Nous avons de ce fait, moins apprécié notre assiette de fromages. 

Le dessert, la truffe à partager accompagnée d’une glace coco. Sublime. La petite réglette de mignardises est très agréable. 
Les bugnes moelleuses et craquantes n’ont pas réussies à nous faire oublier le savoureux panetonne de notre précédent dîner. 

Le meilleur restaurant étoilé de Lyon. Nous invitons tous les gourmets à venir découvrir cette belle maison. 
Nous espérons que les amuses bouches, mignardises évolueront au gré des saisons afin de pouvoir envisager de nouvelles venues et découvertes. Merci à toutes et tous."
Fin gourmet ligérien,Fingourmet42,17 février 2022,Sublissime !,5.0,none,84,"Nos amis et moi-même avons décidé de fêter Noël (avant l'heure) au Neuvième art à Lyon. Et bien, je sais qu'il faut toujours croire au Père Noël car nous avons été gustativement comblés. Le déjeuner fut un délice, un régal et il est bien difficile de décrire nos émotions. C'était parfait. Le service était attentionné comme il le fallait, ni plus, ni moins. Nous regrettons de ne pas avoir conversé avec le chef en fin de repas. Certes nous avons eu Madame qui fait office de portier, mais ce n'est vraiment pareil. En résumé, croyez au Père Noël toute l'année ainsi, au Neuvième art à Lyon, il sortira de sa hotte de succulents plats."
Jean_marcG372,Jean_marcG372,10 février 2022,Une sobriété élégante ...,5.0,none,151,"...marquée d'une table nue pour sublimer l'essensiel: l'assiette et son tableau. Les yeux avant les papilles. A leur tour mises en action pour apprécier lentement la subtilité des mélanges, surtout ne rien oublier des petites perles d'accompagnement! Un Crozes Hermitage en harmonie et pour clore un café et sa portée de cinq notes.
Un service marqué du même sceau d'élégance.
Oui! 2 Etoiles bien méritées"
