user;user_profile;date_review;title;rating;type_visit;num_contributions;review;restaurant
Sandrine V;sandrinevX7466QM;9 juin 2024;Atmosphère conviviale, cuisine inventive , élaborée et excellente, salle décorée avec goût....une soirée tout en finesse;5.0;friends;1;"Une adresse qui se partage facilement tant l'expérience est réussie....
On recommande fortement ce lieu découvert par des amis !";Frazarin Bistrot Franco Italien
Celine F;celinefV663JF;1 juin 2024;Belle découverte;5.0;friends;1;Nous avons passé une super soirée au Frazarin entre amis. l'accueil est parfait, et la cuisine au top. Je recommande vivement!!!;Frazarin Bistrot Franco Italien
Hervé le gourmand gourmet;893herv_l;16 mai 2024;Une très belle adresse!!;5.0;couples;160;3 amis à la tête de ce resto franco-italien, des amoureux de leur travail, superbe ambiance et des plats juste succulents. Du frais, du fait maison!! On recommande sans hésitation !;Frazarin Bistrot Franco Italien
ERIC R;140ericr;12 mai 2024;Les petits plus qui font la différence ..;5.0;couples;6;Un restaurant dont les plats proposés sont bien travaillés. Les vins sont recherchés et s’accordent bien avec les mets ...ici on a envie de faire plaisir, enfin l’échange est convivial et intéressant. BRAVO à vous trois.. je recommande !!;Frazarin Bistrot Franco Italien
Maria D;J4535PSmariad;8 mai 2024;Excellent;5.0;family;2;Restaurant vraiment délicieux, de l'entrée au dessert... L'accueil était tout simplement parfait.   Je vous recommande vivement cet endroit!;Frazarin Bistrot Franco Italien
Pizzaio;sandrinerQ8140HW;8 mai 2024;Excellent;5.0;friends;31;Agréable surprise nous nous sommes régalés avec des produits frais. Le personnel est très agréable. La qualité au rendez vous . Je conseille ce petit restaurant au goût italien.;Frazarin Bistrot Franco Italien
Agent M;Agent_Max1469;15 avril 2024;Parfait;5.0;couples;154;"Nous avons découvert ce restaurant via trip advisor. 
Les gérants sont très sympathiques et expliquent très bien le concept du restaurant. 
Nous avons passé un moment très agréable et nous avons extrêmement bien mangé. ";Frazarin Bistrot Franco Italien
Sogi;Wanderer01943286891;6 avril 2024;Le plaisir a l’état pur !;5.0;family;3;Parfait.. de l’accueil au dessert! une vraie émotion culinaire. Les 3 associés proposent une restauration goûteuse, dans une ambiance chaleureuse à ne manquer sous aucun prétexte !;Frazarin Bistrot Franco Italien
Céline;Cerealine;2 avril 2024;Parfait !;5.0;couples;10;Excellent ! Les mélanges de saveurs s'équilibrent et s'accordent de manière surprenante et l'ensemble marche très bien. Nous avons également été très bien accueilli et avons passé un bon moment au Frazarin. Le plus: un rapport qualité/prix excellent avec un petit menu à 20 ou 25€ le midi ! ;Frazarin Bistrot Franco Italien
Escape04719679318;Escape04719679318;25 mars 2024;Le Frazarin c’est cool ! c’est bien !!;5.0;friends;1;"Super accueil ! Super restau ! Plats originaux !
Bravo ! Continuez ainsi ! Merci à toute l’équipe ! Vous nous faites du bien !";Frazarin Bistrot Franco Italien
luc;Navigator41004616938;28 février 2024;Magnifique cuisine bei-italienne;5.0;friends;8;"Très belle découverte. Carte italienne restreinte mais travaillée par des anciens de l’institut Bocuse.
Excellent rapport qualité prix et vin de très bon niveau.
Je recommande vivement";Frazarin Bistrot Franco Italien
Jul_Bbx;Jul_Bbx;17 février 2024;Peu et trop;3.0;couples;48;"Peu dans l’assiette et trop dans l’addition !
À entendre, les tables d’à côté partagées.
Gustativement c’est inégal, vous trouverez beaucoup mieux à Lyon. 
Passez votre tour";Frazarin Bistrot Franco Italien
Sylvie C;sylviecF859RH;14 février 2024;Expérience à renouveler 😘;5.0;solo;1;Amazing and delicious refined dishes and wine. Original, mariage créatif entre mer et terre. Accueil chaleureux et convivial. Warmly recommended.;Frazarin Bistrot Franco Italien
Jang Won Young;helissio0751;13 février 2024;Très bonne découverte;5.0;family;12;"Excellente nourriture et excellent rapport qualité!
Service gentil et nourriture généreuse !
N’hésitez pas à y aller";Frazarin Bistrot Franco Italien
Gaëtan F;387ga_tanf;9 février 2024;Parfait de A à Z;5.0;family;3;"Parfait du début à la fin !! Service et cuisine au top . Allez y les yeux fermés ! 
On reviendra sans hésiter, merci à toute l’équipe pour votre accueil !";Frazarin Bistrot Franco Italien
olivier c;Y8272TNolivierc;8 février 2024;Amazing;5.0;friends;1;Ambiance agréable, cosy et chaleureuse la Cuisine franco-italienne est excellente et raffinée bravo aux trois compères.;Frazarin Bistrot Franco Italien
Nolwenn C;472nolwennc;2 février 2024;Très beau dîner;5.0;friends;1;"Super dîner, superbe ambiance! Les plats étaient aussi beaux que bons des entrées au dessert c’était impeccable ! 
Allez y les yeux fermés 
1000 mercis à toute l’équipe de Frazarin";Frazarin Bistrot Franco Italien
didier f;Z126LAdidierf;29 janvier 2024;Magique;5.0;couples;10;Tout simplement magnifique, une découverte à chaque plat, avec l'accord mets et vins c'est magique. L'acceuil est convivial. ;Frazarin Bistrot Franco Italien
Jandaux J;jandauxj;8 janvier 2024;Déjeuner de collegues;5.0;friends;1;"Déjeuner de collègues. Bon et bien servi. 
Top et rapide. 
Y aller sans hésiter 
Merci pour la pensée d anniversaire 🥳 ";Frazarin Bistrot Franco Italien
Gathelier V;verog816;20 décembre 2023;Superbe !;5.0;friends;38;"Superbe, Bravo,  bravo  à toute l’équipe. 
3 fois cette semaine..j’aurais tout testé 3 entrées, 3 plats 2 desserts. Tout est superbe. 
Cuisine superbe, Conseil Vin idem, Service idem,  une très très belle équipe.
Je recommande ++++";Frazarin Bistrot Franco Italien
maxrvp20;maxrvp20;16 décembre 2023;Super bistro franco italien.;5.0;friends;924;Un excellent petit restaurant aux accents franco italien ! C’était délicieux de l’entrée au dessert.  On s’est régalés ! Le service était parfait également, aux petits soins ! Une bien belle adresse où nous reviendrons sans hésiter !;Frazarin Bistrot Franco Italien
PY;francoispH6889IN;15 décembre 2023;SANS HÉSITER;5.0;friends;21;"2eme visite après une première découverte convaincante il y a quelques semaines.
Un vrai plaisir d'entrer dans ce restaurant : accueil chaleureux et attentioné, carte limitée mais gage d'excellents plats du début à la fin à la présentation soignée et goûteux.
Les avis qui m'ont amené ici reflètent totalement la réalité. J'y retournerai.";Frazarin Bistrot Franco Italien
Razi O;razio2017;14 décembre 2023;Super!;5.0;business;39;"Concept sympa, petit restau moderne et convivial 
Aux petits soins et plats juste excellent
De l entre au dessert ça reste créatif et bon 
À faire";Frazarin Bistrot Franco Italien
Olivier R;olivierr760;9 décembre 2023;Magnifique;5.0;business;537;"Une petite pépite 
Le personnel est très avenant et la cuisine de très grande qualité 
Un rapport qualité prix à faire pâlir la concurrence 
De l aile de raie au menu du midi pas banal mais une assurance de manger de l ultra frais
Très bien conseillé pour le vin 
Tout était parfait ne changez rien";Frazarin Bistrot Franco Italien
Meryl F;276merylf;3 décembre 2023;Adresse à ne pas manquer! Excellent;5.0;friends;1;"Super resto ! Une belle table à faire entre amis ou en famille. Dans l’assiette comme au service, rien à dire ! 
Petite carte, pour une cuisine fait maison. Des belles découvertes gustatives, un service au petit soin. Merci pour ce beau moment! ";Frazarin Bistrot Franco Italien
Pascale D;pascaled654;2 décembre 2023;Très bonne adresse;5.0;family;1;Excellent accueil plats recherchés bien présentés carte des vins à l’unisson timing service parfait on reviendra avec plaisir;Frazarin Bistrot Franco Italien
thierry s;SUCHETThierry;19 novembre 2023;Bravissimo;5.0;couples;56;"Superbe accueil. Le propriétaire a pris le temps de nous accueillir, nous conseiller. 
Petit plus pour nous en partant. Merci Patron
Je recommande vivement.,";Frazarin Bistrot Franco Italien
Lila C;76lilac;11 novembre 2023;Excellent accueil;5.0;friends;2;Très bon repas, et l’accueil au top. Nous avons passé un excellent moment. Je recommande. Accueil convivial, nous nous sommes sentis comme à la maison;Frazarin Bistrot Franco Italien
Jeanne M;jeannemB6299OX;5 novembre 2023;Un régal;5.0;friends;3;Repas de qualité avec des serveurs de bonne humeur une joie de vivre et aux grands sourires. Vous vous sentirez à l'aise. Je recommande vivement, pour un très bon rapport qualité prix ;Frazarin Bistrot Franco Italien
Jessie H;jessiehE584VM;2 novembre 2023;Vaut le détour;5.0;couples;1;Simple et parfait : un restaurant qui donne envie de revenir. Qualité de la cuisine, accueil, service excellent. Une de nos meilleures découvertes;Frazarin Bistrot Franco Italien
Patrice M;patricemE7823EY;22 octobre 2023;Super topitop;5.0;friends;1;Cadre simple mais agréable. Personnel très aimable et efficace. Je n'avais pas faim. J'ai finalement dévoré entrée, plat et dessert ! Cuisine fine et savoureuse. Note spéciale pour la pavlova à la figue fraîche, incroyablement parfumée. Vin magnifique et à bonne température. Un dîner délicieux pour un prix raisonnable. Voilà des gens plein de talent, qui se donnent beaucoup de mal pour vous faire passer un moment parfait. Merci;Frazarin Bistrot Franco Italien
faby b;106fabyb;22 octobre 2023;Quand tu manges mieux italien à Lyon qu en Italie…;5.0;friends;2;"Une petite pépite pas du tout caché mais où il faut bien réserver. Les trois associés sont hyper accueillants, souriants et avenants malgré un service du samedi soir complet. Les conseils étaient parfaits et la cuisine incroyable! Ce concept franco-italien fonctionne parfaitement et notre table de 4 où nous avons pris œufs meurettes, cabillaud, pâtes fraîches et chou en dessert a 100% été satisfaite par l équilibre des plats et leurs saveurs! 
Merci pour cette belle soirée, on recommande à 1000%";Frazarin Bistrot Franco Italien
Boris W;borisw967;16 octobre 2023;Merveilleux;5.0;family;3;Pas de commentaires, mais juste vous dire que quand vous aurez passé la porte une 1ère fois, il y aura à coup sûr d' autres fois pour rencontrer à nouveau cette cuisine et ces personnes. Tout simplement magnifique !;Frazarin Bistrot Franco Italien
Vincenza T;288vincenzat;13 octobre 2023;Belle découverte culinaire.;5.0;family;1;"Excellent dîner en famille et très bon accueil.
La qualité des plats et le savoir faire est vraiment top.";Frazarin Bistrot Franco Italien
Magali K;644magalik;8 octobre 2023;Une adresse à connaître;4.0;friends;6;Le mariage réussi de la France et de l’Italie. Nous nous sommes régalées. Le plat de poisson était particulièrement réussi.;Frazarin Bistrot Franco Italien
famille j;530famillej;5 octobre 2023;Tout pour plaire !;5.0;friends;1;"Une équipe de 8 filles un soir en semaine…Un accueil personnalisé de Quentin et Maxence, suivi de mets délicieusement équilibrés préparés par  Harold. Nous ne regrettons qu une chose ; ne pas avoir pris le temps de féliciter Harold pour son travail en cuisine, et les saveurs dans les assiettes, des entrées aux desserts. Félicitations ! ";Frazarin Bistrot Franco Italien
Clara N;435claran;5 octobre 2023;N hésitez plus, allez y !;5.0;couples;6;"Restaurant exceptionnellement bon ! 
Petite carte mais tout le monde peut trouver son bonheur. Le personnel est a l écoute, agréable et très professionnel 
Nous recommandons sans hesitation cette adresse 
Tout est au rdv : très bonne cuisine, l equipe est accueillante et le prix est tout à fait abordable pour la qualité des plats, du personnel et du lieux 
C est rare ! Merci ";Frazarin Bistrot Franco Italien
Florian Legeard;florianlegeard;4 octobre 2023;Magnifique découverte ! 😍;5.0;business;111;"Très belle découverte par hasard après quelques recherches !

Un accueil chaleureux , une table cosy. Une carte courte et travaillée tout fait maison ! Une carte des vins étoffée ainsi qu’un joli panel de vins au verre.  Très bon dressage des assiettes, cuisson du lieu noir à la perfection ! 😍😍

Bref n’y allez pas pour m’assurer une place le midi avec les collègues 😘

Bravo à vous messieurs pour ce voyage en Italie depuis la France !";Frazarin Bistrot Franco Italien
Benoit M;274benoitm;28 juillet 2023;Belle découverte;5.0;family;1;"Merci pour cette magnifique soirée, pour la qualité des plats, votre gentillesse.
Nos invités ont été comblés et nous aussi.
Merci pour votre sympathie et votre excellente cuisine.";Frazarin Bistrot Franco Italien
Elo38;Elo38330;27 juin 2023;A découvrir sans tarder🤗;5.0;couples;13;"Excellent moment avec un accueil vraiment chaleureux. Plats très fins et fameux. Nous y reviendrons avec grand plaisir. Une belle découverte !!!!
Bravo et merci encore à toute l équipe 🤗";Frazarin Bistrot Franco Italien
Tomtom;N7022MOtomtom;19 juin 2023;Le meilleur italien du quartier;5.0;couples;16;"Une pépite du quartier. Une carte courte, mais sans cesse renouvelée, une ""vraie"" cuisine de cuisinier, à la fois simple et recherchée. Les pasta al ragu sont géniales, même une simple salade tomates anciennes / jambon est ""twisté"" avec créativité. Y aller les yeux fermés pour se régaler. ";Frazarin Bistrot Franco Italien
Pierre-Lmt;Pierre-Lmt;30 mai 2023;Excellent !;5.0;friends;70;"Venir au Frazarin c’est toujours l’assurance de ne jamais se lasser de la carte du restaurant, puisqu’elle est régulièrement renouvelée!
Toujours aussi bien, toujours aussi bon 🫶🏾!
Merci à toute l’équipe :)";Frazarin Bistrot Franco Italien
Velidhu91;Velidhu91;1 mai 2023;Coup de cœur !;5.0;friends;298;Une pépite ! Déjeuner récent chez Frazarin et tout était parfait. L'accueil est au top, les explications concernant la carte et les plats sont claires, la déco très agréable. Les plats sont savoureux et raffinés. Ce jour-là, une entrée à base de lentilles, velouté d'asperges et gambas, et en plat principal, un lieu jaune parfaitement cuit avec ses légumes et purée de fenouil. Un délice 😉 Nous reviendrons avec plaisir.;Frazarin Bistrot Franco Italien
Maryline B;951marylineb;18 avril 2023;Je recommande vivement;5.0;family;10;"Repas le midi. Carte courte et efficace. 
Régal pour les yeux et surtout les papilles.
Et pour ne rien gâcher, l'accueil est très agréable et sympathique. 
Parfait sur tout les points. 
";Frazarin Bistrot Franco Italien
LN MART;LNFX;12 avril 2023;A découvrir absolument;5.0;none;7;Une très belle découverte autant au niveau de l assiette que de l accueil ! Plats délicieux et bien travaillés et accueil très chaleureux ;Frazarin Bistrot Franco Italien
lise H;666liseh;30 mars 2023;Best combo franco-italien;5.0;friends;2;"Excellente découverte franco-italienne!
Des plats travaillés, originaux et faits avec amour pour le plaisir des papilles!
Un service aux petits soins et des conseils sur les accords mets-vins plus qu’appréciés! 
Merci pour cette belle soirée ☺️✨";Frazarin Bistrot Franco Italien
Aristide C;572aristidec;30 mars 2023;Une très belle expérience !;5.0;friends;1;"Le lieu est très agréable et la décoration est de bon très goût. 
Les plats sont tous fait maison et délicieux. 
Le personnel est adorable, de bon conseil et prévenant, une très bonne expérience dans un lieu fort sympathique. 

Merci pour cette belle soirée :)";Frazarin Bistrot Franco Italien
Nicolas V;NicolasV416;29 mars 2023;Bonne table franco-italienne à 2 pas de perrache;4.0;couples;27;"Bonne découverte de cette table franco-italienne à 2 pas de perrache, à la fois généreux et fin. Bon conseil sur le vin associé au plat.
Seul bémol: un oubli sur la carte qu'un plat contenait un peu de piment. Quand on n'est pas prévenu, cela surprend ! Nous en avons fait la remarque, on nous a remercié de la remarque (la carte sera corrigé) et offert les 2 cafés.
Mis à part ce bémol, du tout bon, à prix très correct. On reviendra.";Frazarin Bistrot Franco Italien
Clément B;clement_billon;17 mars 2023;RETOUR D EST;5.0;couples;1;"Todo va bene frazarin! 
Super assiette! Un doux mélange franco italien digne des plus grand retour d Est! 
Les amoureux de l italofrancodisco seront émerveillés par cette cuisine du cœur servi par nos fraz à grand coeur!!!!";Frazarin Bistrot Franco Italien
Eric S;ericsA3718LS;2 mars 2023;Belle découverte;5.0;couples;1;"Très belle découverte suite à une erreur d'adresse. Carte limitée mais pertinente par rapport au désir du chef et de cuisiner frais les produits du moment. Menu 3 plats très bon rapport qualité en plus le personnel est sympa et savent partager leur passion. 
A y retourner juste pour découvrir leur menu changeant toute les semaines.";Frazarin Bistrot Franco Italien
vyvy52;vyvy52;24 février 2023;Belle découverte !;4.0;family;196;"Enfin du savoir-faire au niveau du service. Equipe jeune, professionnelle pour une cuisine créative et excellente.
Cuisine inventive Les plats sont gouteux, les assaisonnements bien travaillés. Belle carte des vins  
A tres bientôt pour découvrir d’autres plats ( carte change toutes les 3 semaines )";Frazarin Bistrot Franco Italien
Isabelle H;isabellehV2225NL;23 février 2023;Excellent déjeuner;5.0;couples;1;Nous avons apprécié l'accueil, l'originalité des mets et leur présentation. Le rapport qualité-prix est excellent.;Frazarin Bistrot Franco Italien
Baptiste G;880baptisteg;16 février 2023;Un très bon moment chez Frazarin;5.0;none;71;"Diner très sympathique chez Frazarin. Tout est fait maison et cela se sent dans l'assiette. Les plats sont gouteux, en quantité raisonnable, les assaisonnements bien travaillés. Le service est sympathique et bienveillant,, la salle est joliment décorée.
Mini bemol: ""seulement"" 2 plats à la carte, un de plus ce serait top. Merci encore pour cette soirée";Frazarin Bistrot Franco Italien
Seuphie;Curiosity41602784247;9 février 2023;Super repas italien;5.0;family;40;"Cuisine italienne avec inspiration française 
Menu du midi très abordable et une carte qui change très régulièrement avec des plats délicieux et originaux différents d’un restaurant italien « classique »
Super expérience !";Frazarin Bistrot Franco Italien
Magalie M;251magaliem;21 janvier 2023;Une adresse à conserver;5.0;couples;265;"Cela faisait un moment que nous souhaitions venir et on a compris qu’en fin de semaine il est indispensable de réserver à l’avance !
L’accueil et le service sont extrêmement agréables et de bon conseils.
Les plats sont faits avec goût et des produits de qualité que ce soit de l’entrée au dessert et avec une confiance aveugle pour le choix des vins";Frazarin Bistrot Franco Italien
Eliame P;286elianep;14 janvier 2023;A recommander;5.0;friends;23;Ne pas arriver trop tôt😉 mais quelle belle découverte, saveurs au rendez-vous et accueil chaleureux. Nous aimerions avoir un tel restaurant à côté de chez nous;Frazarin Bistrot Franco Italien
Gregg M;386greggm;23 décembre 2022;Expérience mémorable;5.0;friends;1;"Grande découverte de ce restaurant entres amis à l’occasion d’un dîner. Une expérience  culinaire réussie, notamment le paleron de bœuf braisé cuit longuement et divinement fondant et savoureux.
Merci pour ce moment de partage! Je reviendrai
Merci";Frazarin Bistrot Franco Italien
Rekmaz;Marekool;23 décembre 2022;Une expérience superbe!;5.0;none;2;"Nous avions repéré Frazarin depuis quelques temps et lors de notre visite a Lyon, pour les Fetes des Lumières, la réservation était évidente.
La salle est très agréable et les tables pas trop proches, ce qui est un vrai plus.
Nous avons été recus chaleureusement par Quentin et Maxence qui nous ont présenté le restaurant et la cuisine gérée par Harold le milanais.
Les entrées et les plats étaient remplis des saveurs de saison,un vrai travail de présentation digne d'un gastro et le pain maison permets de tout saucer!
Le choix de vin et les conseils de Quentin ont pu sublimer le tout! 
Les desserts ont ravi les gourmands puis nous avons pu finir sur un choix de digestifs ravissants.
Ne loupez pas la Favorite et le foie gras maison, ce serait triste.
A bientot les Frazarins!";Frazarin Bistrot Franco Italien
Bernard B;T1562GJbernardb;2 décembre 2022;Belle decouverte;5.0;none;1;"Equipe jeune, motivée, professionnelle ,sympathique et accueillante pour une cuisine créative  et excellente. Bravo pour tout. 
Recommande sans restriction.
A tres bientot pour decouvrir d autres plats...";Frazarin Bistrot Franco Italien
Nowhereman;moninp2017;1 décembre 2022;On ne s’en lasse pas;5.0;friends;13;"Quelle belle (et bonne) adresse. L’équipe est au top, montre qu’elle est passionnée dans son domaine et cela se ressent dès la porte franchie. L’accueil est chaleureux, le cadre sympathique, les saveurs toujours au rendez-vous et les recettes créatives. Tout est mis en œuvre sans fioriture et avec spontanéité pour qu’on ait plus qu’une seule envie après avoir quitté les lieux : y revenir. 
Mon troisième « passage » dans cet établissement confirme mes premières impressions, que ce soit en couple, entre amis, en famille : 
on est bien chez Frazarin, et on y mange toujours aussi bien ! 
Bravo à vous et merci";Frazarin Bistrot Franco Italien
Gormet44;Gormet44;26 novembre 2022;Une superbe expérience;5.0;couples;201;Une équipe jeune, motivée, professionnelle et sympathique nous accueille dans un restaurant avec une cuisine créative aux doubles origines française et italienne. Bravo du début à la fin. Très bons conseils au niveau du vin et de la nourriture.;Frazarin Bistrot Franco Italien
Nat M;83natmi;16 octobre 2022;Délicieux;5.0;friends;1;Cuisine délicieuse et surprenante, une belle carte des vins et une équipe très sympa... Tout était parfait;Frazarin Bistrot Franco Italien
luc G;218lucg;12 octobre 2022;Repas en sortant de la gare;5.0;business;52;"Un repas bistronomique en sortant de la gare 

Le magret de canard était excellent et la charcuterie en entrée m’a rappelé mes vacances en toscane 

Bref une très belle découverte pour un petit séjour à Lyon 

Et en plus accueil très sympas et chaleureux on a envie de revenir";Frazarin Bistrot Franco Italien
La Fille D Avril;veronique1265;10 octobre 2022;Le gout de l italie;4.0;friends;10;Tres belle decouverte, ambiance chaleureuse et produits de qualité . Pates al dente , buonissimo. La charcuterie excellente , et les desserts nous embarquent: la glace verveine, et le flan chocolat … tres bon…;Frazarin Bistrot Franco Italien
Nolwenn;NOLWENN68600;7 octobre 2022;Très bon restaurant !;5.0;couples;32;Très bon restaurant. Cadre sympathique, personnel souriant et chaleureux. Repas excellent, rien à redire. Je recommande !;Frazarin Bistrot Franco Italien
Pierre-Lmt;Pierre-Lmt;7 octobre 2022;Ottimi Fratelli !;5.0;none;70;"C'est proverbial, la cuisne du Capocuoco et de son équipe est toujours maitrisée, savoureuse et équilibrée. Je me suis régalé lors de la semaine ou la figue était à l'honneur.
Les Maggiordomo toujours aussi accueillants, sympathiques et accessibles.
C'est agréable d'y partager un repas et même y boire un verre. l'ensemble de l'équipe à toujours du temps à accorder pour leurs clients, c'est très appréciable.
Merci à vous.";Frazarin Bistrot Franco Italien
Mike E;Q4925EXmikee;5 octobre 2022;Au top;5.0;business;277;"Accueil avec le sourire par tout le personnel. Ca fais du bien 
Formule plat dessert et j'ai suivi les recommandations de Maxence  - excellent choix  un délice.
La salle est grande  avec tables individuelles séparées.
A 2 pas de la place Carnot et Lyon Perrache.
Vraiment a recommander  les yeux fermés. ";Frazarin Bistrot Franco Italien
Rac30100;Rac30100;21 septembre 2022;Le meilleur de ma semaine de déplacement;5.0;business;2;"Quel régal de découvrir ce restaurant.
Le repas était un régal , les serveurs ( ou patrons)  très sympathiques et très attentionnés…… et tout ça pour le même prix que mes repas passés dans la semaine. Pas évident de manger seul ( lors des déplacements) mais le plaisir que j ai eu ce soir ( repas et convivialité) m a fait passer un très bon moment….. merci beaucoup…. Je conseille fortement.";Frazarin Bistrot Franco Italien
Baptiste S;baptistes244;8 septembre 2022;Top restaurant;5.0;friends;1;"Super restaurant avec une cuisine très raffiné et des produit frais. 
Le cadre ainsi que les serveurs nous font sentir comme à la maison. 
Je recommande les yeux fermer.";Frazarin Bistrot Franco Italien
